SessionID,Experiment,Round,attempt_id,is_final_attempt,end_reason,completed,start_step,end_step,n_rows,n_recolors,start_action_type,end_action_type,start_conflict_regions,end_conflict_regions,start_conflict_region_count,end_conflict_region_count,elapsed_time_s_all_rows,elapsed_time_s_recolors_only
5201314,experiment2,1,1,1,completed,1,0,17,18,17,game_started,recolor,11 12 15 16 35 38 43 45,,8,0,111.9,111.9
5201314,experiment2,2,1,1,completed,1,18,22,5,4,game_started,recolor,6 11 16 23 25 27 39,,7,0,38.699999999999996,38.699999999999996
5201314,experiment2,3,1,0,reset,0,23,26,4,3,game_started,recolor,8 12 14 25 38 43 44,8 10 12 36 38 43 44,7,7,10.200000000000001,10.200000000000001
5201314,experiment2,3,2,0,reset,0,27,28,2,1,round_reset,recolor,8 12 14 25 38 43 44,8 14 25 38 41 43 44,7,7,4.7,2.6
5201314,experiment2,3,3,1,completed,1,29,43,15,14,round_reset,recolor,8 12 14 25 38 43 44,,7,0,77.4,76.00000000000001
5201314,experiment2,4,1,1,completed,1,44,54,11,10,game_started,recolor,8 9 10 23 37 39 40 42 43,,9,0,66.80000000000001,66.8
5201314,experiment2,5,1,0,reset,0,55,61,7,6,game_started,recolor,14 17 18 22 29 37 40 44,9 17 18 21 22 29 37 38 40 44,8,10,43.8,43.8
5201314,experiment2,5,2,1,completed,1,62,73,12,11,round_reset,recolor,14 17 18 22 29 37 40 44,,8,0,59.7,49.800000000000004
5201314,experiment2,6,1,1,completed,1,74,87,14,13,game_started,recolor,6 15 20 27 30 32 34 36 37 43,,10,0,60.5,60.5
5201314,experiment2,7,1,1,completed,1,88,95,8,7,game_started,recolor,3 12 18 21 22 24 44,,7,0,41.4,41.4
5201314,experiment2,8,1,0,reset,0,96,97,2,1,game_started,recolor,10 18 19 20 32 33 34,10 18 19 20 26 32 33 34,7,8,6.7,6.7
5201314,experiment2,8,2,0,reset,0,98,99,2,1,round_reset,recolor,10 18 19 20 32 33 34,10 12 18 19 32 33 34,7,7,3.4000000000000004,1.8
5201314,experiment2,8,3,1,completed,1,100,104,5,4,round_reset,recolor,10 18 19 20 32 33 34,,7,0,19.6,14.9
5201314,experiment2,9,1,1,completed,1,105,113,9,8,game_started,recolor,9 11 15 24 25 29 42,,7,0,31.300000000000004,31.3
5201314,experiment2,10,1,0,reset,0,114,116,3,2,game_started,recolor,15 22 27 33 40 44,15 22 27 33 35 40,6,6,7.4,7.4
