Round,total_rows,resets,total_recolors_including_abandoned,final_attempt_recolors,abandoned_recolors,round_time_total,final_attempt_time,completed
1,18,0,17,17,0,111.9,111.9,1
2,5,0,4,4,0,38.7,38.7,1
3,21,2,18,14,4,92.3,76.0,1
4,11,0,10,10,0,66.8,66.8,1
5,19,1,17,11,6,103.5,49.8,1
6,14,0,13,13,0,60.5,60.5,1
7,8,0,7,7,0,41.4,41.4,1
8,9,2,6,4,2,29.7,14.9,1
9,9,0,8,8,0,31.3,31.3,1
10,27,2,24,5,19,152.6,25.5,1
11,11,0,10,10,0,66.4,66.4,1
12,8,0,7,7,0,33.6,33.6,1
13,11,0,10,10,0,45.9,45.9,1
14,13,0,12,12,0,55.9,55.9,1
15,8,0,7,7,0,33.2,33.2,1
16,13,1,11,8,3,70.1,49.9,1
17,25,0,24,24,0,123.5,123.5,1
18,9,0,8,8,0,38.0,38.0,1
19,7,0,6,6,0,18.3,18.3,1
20,24,1,22,7,15,138.7,48.9,1
21,26,1,24,22,2,89.8,83.1,1
22,7,0,6,6,0,42.0,42.0,1
23,10,0,9,9,0,31.4,31.4,1
24,7,0,6,6,0,24.0,24.0,1
25,13,0,12,12,0,44.0,44.0,1
26,8,0,7,7,0,20.8,20.8,1
27,10,0,9,9,0,28.7,28.7,1
28,21,0,20,20,0,69.5,69.5,1
29,7,0,6,6,0,29.3,29.3,1
30,25,5,19,10,9,83.8,58.3,1
