SessionID,Experiment,Round,attempt_id,is_final_attempt,end_reason,completed,start_step,end_step,n_rows,n_recolors,start_action_type,end_action_type,start_conflict_regions,end_conflict_regions,start_conflict_region_count,end_conflict_region_count,elapsed_time_s_all_rows,elapsed_time_s_recolors_only
FlorenceYeoh,experiment2,1,1,1,completed,1,0,13,14,13,game_started,recolor,11 12 15 16 35 38 43 45,,8,0,107.1,107.1
FlorenceYeoh,experiment2,2,1,1,completed,1,14,20,7,6,game_started,recolor,6 11 16 23 25 27 39,,7,0,34.0,34.0
FlorenceYeoh,experiment2,3,1,1,completed,1,21,43,23,22,game_started,recolor,8 12 14 25 38 43 44,,7,0,109.1,109.10000000000001
FlorenceYeoh,experiment2,4,1,1,completed,1,44,54,11,10,game_started,recolor,8 9 10 23 37 39 40 42 43,,9,0,56.0,56.0
FlorenceYeoh,experiment2,5,1,1,completed,1,55,68,14,13,game_started,recolor,14 17 18 22 29 37 40 44,,8,0,59.0,59.0
FlorenceYeoh,experiment2,6,1,1,completed,1,69,85,17,16,game_started,recolor,6 15 20 27 30 32 34 36 37 43,,10,0,67.9,67.9
FlorenceYeoh,experiment2,7,1,1,completed,1,86,92,7,6,game_started,recolor,3 12 18 21 22 24 44,,7,0,40.599999999999994,40.599999999999994
FlorenceYeoh,experiment2,8,1,1,completed,1,93,105,13,12,game_started,recolor,10 18 19 20 32 33 34,,7,0,60.9,60.9
FlorenceYeoh,experiment2,9,1,1,completed,1,106,120,15,14,game_started,recolor,9 11 15 24 25 29 42,,7,0,61.8,61.8
FlorenceYeoh,experiment2,10,1,1,completed,1,121,129,9,8,game_started,recolor,15 22 27 33 40 44,,6,0,53.8,53.8
FlorenceYeoh,experiment2,11,1,1,completed,1,130,137,8,7,game_started,recolor,1 9 12 14 28 32 34 35 38 41,,10,0,73.9,73.89999999999999
FlorenceYeoh,experiment2,12,1,1,completed,1,138,150,13,12,game_started,recolor,4 6 7 14 21 26 27 37 41 45,,10,0,53.5,53.5
FlorenceYeoh,experiment2,13,1,1,completed,1,151,164,14,13,game_started,recolor,2 5 11 14 22 24 32 35 37 40,,10,0,60.900000000000006,60.900000000000006
FlorenceYeoh,experiment2,14,1,1,completed,1,165,175,11,10,game_started,recolor,1 8 10 14 20 24 31 32 37 38 45,,11,0,31.200000000000003,31.2
FlorenceYeoh,experiment2,15,1,1,completed,1,176,184,9,8,game_started,recolor,1 4 15 21 22 24 25 28 32 44,,10,0,43.599999999999994,43.599999999999994
FlorenceYeoh,experiment2,16,1,1,completed,1,185,206,22,21,game_started,recolor,1 5 7 9 16 21 26 27 29 30 31 36 41 42,,14,0,79.49999999999999,79.49999999999999
FlorenceYeoh,experiment2,17,1,1,completed,1,207,217,11,10,game_started,recolor,4 12 15 18 19 20 24 25 31 32 34 35 37 38,,14,0,48.699999999999996,48.69999999999999
FlorenceYeoh,experiment2,18,1,1,completed,1,218,233,16,15,game_started,recolor,1 7 8 18 22 24 29 31 32 39,,10,0,56.3,56.29999999999998
FlorenceYeoh,experiment2,19,1,1,completed,1,234,239,6,5,game_started,recolor,7 11 19 22 24 26 33 41,,8,0,26.499999999999996,26.499999999999996
FlorenceYeoh,experiment2,20,1,1,completed,1,240,246,7,6,game_started,recolor,5 6 10 15 27 38 45,,7,0,16.4,16.4
FlorenceYeoh,experiment2,21,1,1,completed,1,247,251,5,4,game_started,recolor,5 6 10 15 19 32 34 35 36,,9,0,12.399999999999999,12.399999999999999
FlorenceYeoh,experiment2,22,1,1,completed,1,252,258,7,6,game_started,recolor,3 7 13 14 15 23 25 36 37 41 42 43 44,,13,0,18.0,18.0
FlorenceYeoh,experiment2,23,1,1,completed,1,259,271,13,12,game_started,recolor,7 13 14 18 30 31 40,,7,0,42.4,42.4
FlorenceYeoh,experiment2,24,1,1,completed,1,272,282,11,10,game_started,recolor,2 15 17 25 30 32 41,,7,0,42.2,42.199999999999996
FlorenceYeoh,experiment2,25,1,1,completed,1,283,296,14,13,game_started,recolor,5 8 11 12 16 29 32 36 37 38 39 40 42 43,,14,0,42.4,42.4
FlorenceYeoh,experiment2,26,1,1,completed,1,297,308,12,11,game_started,recolor,2 5 9 17 23 29 32 34 38 39 42,,11,0,34.300000000000004,34.300000000000004
FlorenceYeoh,experiment2,27,1,1,completed,1,309,313,5,4,game_started,recolor,1 6 7 10 29 30 41,,7,0,15.0,15.0
FlorenceYeoh,experiment2,28,1,1,completed,1,314,329,16,15,game_started,recolor,2 3 9 10 15 17 21 24 26 37 40 41 42,,13,0,47.7,47.699999999999996
FlorenceYeoh,experiment2,29,1,1,completed,1,330,335,6,5,game_started,recolor,7 8 14 21 32 35 42,,7,0,13.999999999999998,13.999999999999998
FlorenceYeoh,experiment2,30,1,1,completed,1,336,346,11,10,game_started,recolor,2 3 11 14 24 27 29 32 34 44,,10,0,34.3,34.3
