SessionID,Experiment,Round,attempt_id,is_final_attempt,end_reason,completed,start_step,end_step,n_rows,n_recolors,start_action_type,end_action_type,start_conflict_regions,end_conflict_regions,start_conflict_region_count,end_conflict_region_count,elapsed_time_s_all_rows,elapsed_time_s_recolors_only
Rex,experiment2,1,1,1,completed,1,0,23,24,23,game_started,recolor,11 12 15 16 35 38 43 45,,8,0,194.1,194.09999999999997
Rex,experiment2,2,1,1,completed,1,24,30,7,6,game_started,recolor,6 11 16 23 25 27 39,,7,0,29.5,29.5
Rex,experiment2,3,1,1,completed,1,31,37,7,6,game_started,recolor,8 12 14 25 38 43 44,,7,0,50.199999999999996,50.199999999999996
Rex,experiment2,4,1,1,completed,1,38,49,12,11,game_started,recolor,8 9 10 23 37 39 40 42 43,,9,0,53.0,53.0
Rex,experiment2,5,1,1,completed,1,50,55,6,5,game_started,recolor,14 17 18 22 29 37 40 44,,8,0,21.0,21.0
Rex,experiment2,6,1,1,completed,1,56,62,7,6,game_started,recolor,6 15 20 27 30 32 34 36 37 43,,10,0,26.0,26.0
Rex,experiment2,7,1,1,completed,1,63,68,6,5,game_started,recolor,3 12 18 21 22 24 44,,7,0,22.9,22.9
Rex,experiment2,8,1,1,completed,1,69,92,24,23,game_started,recolor,10 18 19 20 32 33 34,,7,0,119.20000000000002,119.19999999999999
Rex,experiment2,9,1,1,completed,1,93,102,10,9,game_started,recolor,9 11 15 24 25 29 42,,7,0,52.99999999999999,53.0
Rex,experiment2,10,1,1,completed,1,103,117,15,14,game_started,recolor,15 22 27 33 40 44,,6,0,59.2,59.20000000000001
Rex,experiment2,11,1,1,completed,1,118,129,12,11,game_started,recolor,1 9 12 14 28 32 34 35 38 41,,10,0,36.3,36.3
Rex,experiment2,12,1,1,completed,1,130,153,24,23,game_started,recolor,4 6 7 14 21 26 27 37 41 45,,10,0,153.39999999999998,153.39999999999998
Rex,experiment2,13,1,1,completed,1,154,171,18,17,game_started,recolor,2 5 11 14 22 24 32 35 37 40,,10,0,101.6,101.6
Rex,experiment2,14,1,1,completed,1,172,181,10,9,game_started,recolor,1 8 10 14 20 24 31 32 37 38 45,,11,0,44.7,44.7
Rex,experiment2,15,1,1,completed,1,182,197,16,15,game_started,recolor,1 4 15 21 22 24 25 28 32 44,,10,0,99.80000000000001,99.80000000000001
Rex,experiment2,16,1,1,completed,1,198,239,42,41,game_started,recolor,1 5 7 9 16 21 26 27 29 30 31 36 41 42,,14,0,278.1,278.1
Rex,experiment2,17,1,1,completed,1,240,301,62,61,game_started,recolor,4 12 15 18 19 20 24 25 31 32 34 35 37 38,,14,0,403.99999999999994,403.99999999999994
Rex,experiment2,18,1,1,completed,1,302,311,10,9,game_started,recolor,1 7 8 18 22 24 29 31 32 39,,10,0,87.39999999999999,87.4
Rex,experiment2,19,1,1,completed,1,312,318,7,6,game_started,recolor,7 11 19 22 24 26 33 41,,8,0,33.9,33.9
Rex,experiment2,20,1,1,completed,1,319,335,17,16,game_started,recolor,5 6 10 15 27 38 45,,7,0,97.0,97.0
Rex,experiment2,21,1,1,completed,1,336,356,21,20,game_started,recolor,5 6 10 15 19 32 34 35 36,,9,0,107.3,107.3
Rex,experiment2,22,1,1,completed,1,357,363,7,6,game_started,recolor,3 7 13 14 15 23 25 36 37 41 42 43 44,,13,0,32.8,32.8
Rex,experiment2,23,1,1,completed,1,364,371,8,7,game_started,recolor,7 13 14 18 30 31 40,,7,0,33.2,33.2
Rex,experiment2,24,1,1,completed,1,372,383,12,11,game_started,recolor,2 15 17 25 30 32 41,,7,0,48.099999999999994,48.099999999999994
Rex,experiment2,25,1,1,completed,1,384,394,11,10,game_started,recolor,5 8 11 12 16 29 32 36 37 38 39 40 42 43,,14,0,57.900000000000006,57.900000000000006
Rex,experiment2,26,1,1,completed,1,395,404,10,9,game_started,recolor,2 5 9 17 23 29 32 34 38 39 42,,11,0,32.1,32.1
Rex,experiment2,27,1,1,completed,1,405,411,7,6,game_started,recolor,1 6 7 10 29 30 41,,7,0,25.4,25.4
Rex,experiment2,28,1,1,completed,1,412,430,19,18,game_started,recolor,2 3 9 10 15 17 21 24 26 37 40 41 42,,13,0,100.4,100.39999999999999
Rex,experiment2,29,1,1,completed,1,431,438,8,7,game_started,recolor,7 8 14 21 32 35 42,,7,0,23.6,23.599999999999998
Rex,experiment2,30,1,1,completed,1,439,450,12,11,game_started,recolor,2 3 11 14 24 27 29 32 34 44,,10,0,52.400000000000006,52.400000000000006
