participant,SessionID,Experiment,Round,attempt_id,is_final_attempt,n_recolors,first_center_dist_norm,last_center_dist_norm,mean_center_dist_norm,center_dist_delta_last_first,center_dist_slope_per_action,outward_step_ratio,n_outward_steps,n_inward_or_equal_steps
Rex,Rex,experiment2,1,1,1,23,0.4396339480735708,0.8071259394652586,0.41936133939734277,0.36749199139168776,0.02110734244864554,0.36363636363636365,8,14
Rex,Rex,experiment2,2,1,1,6,0.8472557604710943,0.44744549263532424,0.43590544833615064,-0.39981026783577006,-0.060222103554654446,0.4,2,3
Rex,Rex,experiment2,3,1,1,6,0.3249286193201461,0.6127957834378188,0.6660921669722516,0.2878671641176727,0.04063377967604006,0.4,2,3
Rex,Rex,experiment2,4,1,1,11,0.3618904948882416,0.8071259394652586,0.5123956921402875,0.44523544457701697,0.02247298181281655,0.4,4,6
Rex,Rex,experiment2,5,1,1,5,0.7895176577716747,0.7201890023945967,0.6966663008421259,-0.069328655377078,-0.015146820411650285,0.25,1,3
Rex,Rex,experiment2,6,1,1,6,0.5193356752317952,0.6512818187635391,0.44859818565769166,0.13194614353174383,0.0022787048886657836,0.4,2,3
Rex,Rex,experiment2,7,1,1,5,0.5394018509853976,0.15277515819875823,0.5081291454303611,-0.3866266927866394,-0.033298444830699006,0.5,2,2
Rex,Rex,experiment2,8,1,1,23,0.3189713758148396,0.8647067955808208,0.46215008323229584,0.5457354197659812,0.020926819928408825,0.5454545454545454,12,10
Rex,Rex,experiment2,9,1,1,9,0.4677225754238169,0.26749877231799307,0.41118047130996177,-0.20022380310582383,-0.03315109111012561,0.375,3,5
Rex,Rex,experiment2,10,1,1,14,0.8931860686358596,0.8931860686358596,0.660270685292634,0.0,-0.006989691397776072,0.5384615384615384,7,6
Rex,Rex,experiment2,11,1,1,11,0.5624855922543935,0.4745724338059875,0.39963376500257736,-0.08791315844840603,-0.039552960258384576,0.5,5,5
Rex,Rex,experiment2,12,1,1,23,0.8593823274505874,0.7843524329644798,0.44401643507351063,-0.07502989448610764,0.007048151600150525,0.45454545454545453,10,12
Rex,Rex,experiment2,13,1,1,17,0.6759655764762824,0.41993874281595206,0.5074711338021836,-0.25602683366033036,-0.022348167408143146,0.375,6,10
Rex,Rex,experiment2,14,1,1,9,0.8802164535337098,0.4490277035631482,0.514435372497028,-0.4311887499705616,-0.0524429641740609,0.375,3,5
Rex,Rex,experiment2,15,1,1,15,0.6650741698880525,0.8163907005433182,0.7443223663085624,0.15131653065526574,0.005723665962886562,0.42857142857142855,6,8
Rex,Rex,experiment2,16,1,1,41,0.728780029878843,0.8361639339754662,0.49805992935107224,0.10738390409662313,0.001288529562611556,0.4,16,24
Rex,Rex,experiment2,17,1,1,61,0.618524546083568,0.8255514942809706,0.590841025626939,0.20702694819740264,0.0037394392213905463,0.43333333333333335,26,34
Rex,Rex,experiment2,18,1,1,9,0.5771505976397533,0.8361639339754662,0.5101175939112474,0.2590133363357129,0.014001046904960752,0.5,4,4
Rex,Rex,experiment2,19,1,1,6,0.8374810334137728,0.6127957834378188,0.7868735165839921,-0.22468524997595396,-0.04769218200165572,0.4,2,3
Rex,Rex,experiment2,20,1,1,16,0.8825558164914491,0.5419259407142225,0.7551383930729789,-0.3406298757772266,-0.0056592480669300236,0.4,6,9
Rex,Rex,experiment2,21,1,1,20,0.5503676628539804,0.6359884651476235,0.7016837258969452,0.0856208022936431,0.00332447592357324,0.42105263157894735,8,11
Rex,Rex,experiment2,22,1,1,6,0.5092505273291941,0.4568797405211469,0.588119344913538,-0.05237078680804719,0.019073687207783265,0.4,2,3
Rex,Rex,experiment2,23,1,1,7,0.580634936479524,0.8311867234831207,0.7914786418900476,0.2505517870035967,0.013547910694611717,0.5,3,3
Rex,Rex,experiment2,24,1,1,11,0.6971340262979613,0.9779731771729271,0.6134856366913881,0.2808391508749658,0.04853465463680508,0.6,6,4
Rex,Rex,experiment2,25,1,1,10,0.6445143918415768,0.45136384120312295,0.47068301782146016,-0.19315055063845382,-0.031830177651248445,0.5555555555555556,5,4
Rex,Rex,experiment2,26,1,1,9,0.7826569281747379,0.8740403418225277,0.781076551494502,0.09138341364778979,0.00587361762356059,0.5,4,4
Rex,Rex,experiment2,27,1,1,6,0.6919813395416519,0.7151299101434248,0.670362862578134,0.02314857060177289,0.03815858595294288,0.4,2,3
Rex,Rex,experiment2,28,1,1,18,0.6771308766157322,0.4088125592756227,0.6046123603971716,-0.2683183173401095,-0.014594503984266458,0.29411764705882354,5,12
Rex,Rex,experiment2,29,1,1,7,0.7077584926439497,0.49942336504861046,0.5166243581176065,-0.2083351275953393,-0.0030404479454164213,0.3333333333333333,2,4
Rex,Rex,experiment2,30,1,1,11,0.7967777430276477,0.41993874281595206,0.601449176293062,-0.37683900021169564,-0.040860973050269644,0.6,6,4
