SessionID,Experiment,Round,attempt_id,is_final_attempt,end_reason,completed,start_step,end_step,n_rows,n_recolors,start_action_type,end_action_type,start_conflict_regions,end_conflict_regions,start_conflict_region_count,end_conflict_region_count,elapsed_time_s_all_rows,elapsed_time_s_recolors_only
施淮,experiment2,1,1,0,reset,0,0,5,6,5,game_started,recolor,11 12 15 16 35 38 43 45,21 45,8,2,103.5,103.5
施淮,experiment2,1,2,1,completed,1,6,10,5,4,round_reset,recolor,11 12 15 16 35 38 43 45,,8,0,62.300000000000004,58.50000000000001
施淮,experiment2,2,1,0,reset,0,11,14,4,3,game_started,recolor,6 11 16 23 25 27 39,11 13 23 24,7,4,59.5,59.5
施淮,experiment2,2,2,1,completed,1,15,23,9,8,round_reset,recolor,6 11 16 23 25 27 39,,7,0,95.9,86.30000000000001
施淮,experiment2,3,1,0,reset,0,24,26,3,2,game_started,recolor,8 12 14 25 38 43 44,12 14 36 43,7,4,16.3,16.3
施淮,experiment2,3,2,0,reset,0,27,33,7,6,round_reset,recolor,8 12 14 25 38 43 44,36 42,7,2,131.79999999999998,128.9
施淮,experiment2,3,3,1,completed,1,34,40,7,6,round_reset,recolor,8 12 14 25 38 43 44,,7,0,57.89999999999999,44.699999999999996
施淮,experiment2,4,1,1,completed,1,41,48,8,7,game_started,recolor,8 9 10 23 37 39 40 42 43,,9,0,123.5,123.5
施淮,experiment2,5,1,0,reset,0,49,58,10,9,game_started,recolor,14 17 18 22 29 37 40 44,9 14,8,2,89.7,89.69999999999999
施淮,experiment2,5,2,1,completed,1,59,64,6,5,round_reset,recolor,14 17 18 22 29 37 40 44,,8,0,55.800000000000004,41.199999999999996
施淮,experiment2,6,1,1,completed,1,65,69,5,4,game_started,recolor,6 15 20 27 30 32 34 36 37 43,,10,0,28.900000000000002,28.900000000000002
施淮,experiment2,7,1,0,reset,0,70,72,3,2,game_started,recolor,3 12 18 21 22 24 44,18 22 24 30 42 44,7,6,42.400000000000006,42.400000000000006
施淮,experiment2,7,2,1,completed,1,73,80,8,7,round_reset,recolor,3 12 18 21 22 24 44,,7,0,60.599999999999994,56.2
施淮,experiment2,8,1,1,completed,1,81,85,5,4,game_started,recolor,10 18 19 20 32 33 34,,7,0,47.4,47.4
施淮,experiment2,9,1,1,completed,1,86,90,5,4,game_started,recolor,9 11 15 24 25 29 42,,7,0,53.8,53.8
