Round,final_attempt_time_s_5201314,final_attempt_time_s_Rex,final_recolors_5201314,final_recolors_Rex,time_per_final_recolor_s_5201314,time_per_final_recolor_s_Rex,time_diff_Rex_minus_5201314,recolor_diff_Rex_minus_5201314
1,111.9,194.1,17.0,23.0,6.582352941176471,8.439130434782607,82.19999999999999,6.0
2,38.7,29.5,4.0,6.0,9.675,4.916666666666667,-9.200000000000003,2.0
3,77.4,50.2,14.0,6.0,5.42857142857143,8.366666666666667,-27.200000000000003,-8.0
4,66.80000000000001,53.0,10.0,11.0,6.68,4.818181818181818,-13.800000000000011,1.0
5,59.7,21.0,11.0,5.0,4.527272727272727,4.2,-38.7,-6.0
6,60.5,26.0,13.0,6.0,4.653846153846154,4.333333333333333,-34.5,-7.0
7,41.4,22.9,7.0,5.0,5.914285714285714,4.58,-18.5,-2.0
8,19.6,119.20000000000002,4.0,23.0,3.725,5.182608695652174,99.60000000000002,19.0
9,31.300000000000004,52.99999999999999,8.0,9.0,3.9125,5.888888888888889,21.69999999999999,1.0
10,27.2,59.2,5.0,14.0,5.1,4.2285714285714295,32.0,9.0
11,66.4,36.3,10.0,11.0,6.640000000000001,3.3,-30.10000000000001,1.0
12,33.6,153.39999999999998,7.0,23.0,4.8,6.669565217391304,119.79999999999998,16.0
13,45.9,101.6,10.0,17.0,4.59,5.976470588235294,55.699999999999996,7.0
14,55.9,44.7,12.0,9.0,4.658333333333332,4.966666666666667,-11.199999999999996,-3.0
15,33.2,99.8,7.0,15.0,4.742857142857143,6.653333333333333,66.6,8.0
16,52.2,278.1,8.0,41.0,6.2375,6.782926829268293,225.90000000000003,33.0
17,123.5,403.99999999999994,24.0,61.0,5.145833333333333,6.6229508196721305,280.49999999999994,37.0
18,38.0,87.39999999999999,8.0,9.0,4.75,9.711111111111112,49.39999999999999,1.0
19,18.3,33.9,6.0,6.0,3.0500000000000003,5.6499999999999995,15.599999999999998,0.0
20,50.3,97.0,7.0,16.0,6.985714285714286,6.0625,46.7,9.0
21,85.90000000000002,107.3,22.0,20.0,3.777272727272728,5.365,21.399999999999977,-2.0
22,42.0,32.8,6.0,6.0,7.0,5.466666666666666,-9.200000000000003,0.0
23,31.4,33.2,9.0,7.0,3.488888888888889,4.742857142857143,1.8000000000000043,-2.0
24,24.0,48.099999999999994,6.0,11.0,4.0,4.372727272727272,24.099999999999994,5.0
25,44.0,57.900000000000006,12.0,10.0,3.6666666666666665,5.790000000000001,13.900000000000006,-2.0
26,20.8,32.1,7.0,9.0,2.971428571428571,3.566666666666667,11.3,2.0
27,28.7,25.4,9.0,6.0,3.188888888888888,4.233333333333333,-3.3000000000000007,-3.0
28,69.5,100.4,20.0,18.0,3.475,5.577777777777778,30.900000000000006,-2.0
29,29.299999999999997,23.6,6.0,7.0,4.883333333333333,3.371428571428571,-5.699999999999996,1.0
30,58.49999999999999,52.400000000000006,10.0,11.0,5.83,4.763636363636365,-6.099999999999987,1.0
