round,step,region,before,after,delta,region_dist_center_norm,is_current_conflict_region
1,0,11,5,4,-1,0.1613966246462753,1
1,1,34,4,3,-1,0.708747946347841,1
1,2,26,3,2,-1,0.20165292067048704,1
1,3,44,2,0,-2,0.4396339480735708,1
2,0,27,4,5,1,0.2770622411610402,0
2,1,26,5,4,-1,0.8472557604710943,1
2,2,38,4,2,-2,0.1915215338423103,1
2,3,22,2,1,-1,0.44744549263532424,1
2,4,15,1,1,0,0.5761512019156774,1
2,5,9,1,0,-1,0.8181359746576637,1
3,0,42,4,5,1,0.6352377279053542,1
3,1,43,5,3,-2,0.3249286193201461,1
3,2,4,3,3,0,0.6127957834378188,0
3,3,26,3,4,1,0.6462668089742368,0
3,4,1,4,3,-1,0.475052978491466,1
3,5,13,3,2,-1,0.8393588826274504,1
3,6,40,2,1,-1,0.799539545912007,1
3,7,11,1,0,-1,0.8082675608837383,1
4,0,39,6,5,-1,0.29576283431506356,1
4,1,8,5,2,-3,0.6952715222318228,1
4,2,36,2,1,-1,0.5070457924927958,1
4,3,23,1,1,0,0.7529334058819187,0
4,4,16,1,1,0,0.5968086155031218,0
4,5,25,1,1,0,0.6226847388541363,0
4,6,12,1,0,-1,0.5634069451933621,1
5,0,16,5,2,-3,0.7895176577716747,1
5,1,13,2,2,0,0.7767067644093278,1
5,2,28,2,1,-1,0.4074004218633553,1
5,3,0,1,0,-1,0.7201890023945967,1
6,0,33,7,5,-2,0.6512818187635391,1
6,1,26,5,3,-2,0.5193356752317952,1
6,2,5,3,1,-2,0.312469830874991,1
6,3,7,1,0,-1,0.4576205269671239,1
7,0,17,4,3,-1,0.5394018509853976,1
7,1,43,3,2,-1,0.3891687065498411,1
7,2,29,2,2,0,0.38708995765301607,0
7,3,23,2,1,-1,0.2791345381070267,1
7,4,17,1,0,-1,0.5394018509853976,1
8,0,14,4,5,1,0.8311867234831207,0
8,1,33,5,6,1,0.5257872974480045,1
8,2,17,6,5,-1,0.4297060657060408,1
8,3,9,5,4,-1,0.7414799600261169,1
8,4,32,4,3,-1,0.3189713758148396,1
8,5,14,3,2,-1,0.8311867234831207,1
8,6,1,2,2,0,0.8647067955808208,0
8,7,24,2,1,-1,0.7406400730735028,1
8,8,32,1,0,-1,0.3189713758148396,1
9,0,23,4,3,-1,0.478604825914451,1
9,1,10,3,2,-1,0.9075524515322283,1
9,2,31,2,3,1,0.5092505273291941,0
9,3,23,3,2,-1,0.478604825914451,1
9,4,35,2,2,0,0.12240859255616571,0
9,5,14,2,1,-1,0.4677225754238169,1
9,6,1,1,0,-1,0.26749877231799307,1
10,0,39,4,3,-1,0.20370021093167764,1
10,1,26,3,2,-1,0.5761512019156774,1
10,2,17,2,3,1,0.5938830654562266,0
10,3,35,3,2,-1,0.5984285175855729,1
10,4,32,2,2,0,0.8124102248519423,1
10,5,20,2,0,-2,0.7293491670447562,1
11,0,33,6,7,1,0.23765024608695728,1
11,1,11,7,4,-3,0.4825803740594782,1
11,2,37,4,4,0,0.5912571878976728,1
11,3,44,4,4,0,0.43872578181219923,0
11,4,24,4,7,3,0.39853350352857725,0
11,5,34,7,5,-2,0.5624855922543935,1
11,6,24,5,2,-3,0.39853350352857725,1
11,7,33,2,0,-2,0.23765024608695728,1
12,0,38,9,10,1,0.2770622411610402,0
12,1,5,10,7,-3,0.5638670571076895,1
12,2,13,7,4,-3,0.03864939758404989,1
12,3,22,4,4,0,0.5624855922543935,0
12,4,36,4,3,-1,0.4553052872132228,1
12,5,40,3,1,-2,0.2969415327281133,1
12,6,36,1,0,-1,0.4553052872132228,1
13,0,1,8,7,-1,0.5619730768019529,1
13,1,27,7,9,2,0.13664625560228308,0
13,2,36,9,7,-2,0.3759113714051263,1
13,3,10,7,4,-3,0.5316731595141115,1
13,4,5,4,3,-1,0.7627206163394377,1
13,5,34,3,2,-1,0.33199072626151993,1
13,6,29,2,2,0,0.41993874281595206,0
14,0,31,6,4,-2,0.4490277035631482,1
14,1,23,4,4,0,0.4767532734289498,1
14,2,12,4,5,1,0.49942336504861046,0
14,3,44,5,4,-1,0.7114942490210595,1
14,4,15,4,3,-1,0.6445143918415767,1
14,5,13,3,2,-1,0.7379460111367884,1
14,6,7,2,0,-2,0.16116793643414268,1
15,0,3,5,5,0,0.684747886488007,1
15,1,21,5,5,0,0.7908245138527671,1
15,2,27,5,4,-1,0.6650741698880525,1
15,3,10,4,2,-2,0.8163907005433182,1
