agent,round,agent_step,module,state_before,region,old_color,new_color,n_conflict_edges_before,n_conflict_edges_after,final_conflicts,success,random_seed
hsp2,1,0,hsp2,"3 2 3 1 2 2 3 2 2 3 1 1 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 0 0 1",11,1,0,5,4,0,1,1
hsp2,1,1,hsp2,"3 2 3 1 2 2 3 2 2 3 1 0 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 0 1 0 1 1 3 0 3 0 0 1",34,0,3,4,3,0,1,1
hsp2,1,2,hsp2,"3 2 3 1 2 2 3 2 2 3 1 0 2 0 1 1 1 0 0 1 3 2 2 3 1 3 0 0 0 2 3 3 3 3 3 1 0 1 1 3 0 3 0 0 1",26,0,2,3,2,0,1,1
hsp2,1,3,hsp2,"3 2 3 1 2 2 3 2 2 3 1 0 2 0 1 1 1 0 0 1 3 2 2 3 1 3 2 0 0 2 3 3 3 3 3 1 0 1 1 3 0 3 0 0 1",44,1,0,2,0,0,1,1
hsp2,2,0,hsp2,"1 0 3 3 2 2 2 0 1 3 1 1 3 1 0 2 1 1 2 2 1 2 1 0 0 0 0 3 1 3 3 2 0 0 2 3 0 2 2 1 1 3 2 2 2",27,3,2,4,5,0,1,1
hsp2,2,1,hsp2,"1 0 3 3 2 2 2 0 1 3 1 1 3 1 0 2 1 1 2 2 1 2 1 0 0 0 0 2 1 3 3 2 0 0 2 3 0 2 2 1 1 3 2 2 2",26,0,1,5,4,0,1,1
hsp2,2,2,hsp2,"1 0 3 3 2 2 2 0 1 3 1 1 3 1 0 2 1 1 2 2 1 2 1 0 0 0 1 2 1 3 3 2 0 0 2 3 0 2 2 1 1 3 2 2 2",38,2,3,4,2,0,1,1
hsp2,2,3,hsp2,"1 0 3 3 2 2 2 0 1 3 1 1 3 1 0 2 1 1 2 2 1 2 1 0 0 0 1 2 1 3 3 2 0 0 2 3 0 2 3 1 1 3 2 2 2",22,1,3,2,1,0,1,1
hsp2,2,4,hsp2,"1 0 3 3 2 2 2 0 1 3 1 1 3 1 0 2 1 1 2 2 1 2 3 0 0 0 1 2 1 3 3 2 0 0 2 3 0 2 3 1 1 3 2 2 2",15,2,3,1,1,0,1,1
hsp2,2,5,hsp2,"1 0 3 3 2 2 2 0 1 3 1 1 3 1 0 3 1 1 2 2 1 2 3 0 0 0 1 2 1 3 3 2 0 0 2 3 0 2 3 1 1 3 2 2 2",9,3,0,1,0,0,1,1
hsp2,3,0,hsp2,"0 3 0 3 1 2 3 1 2 0 3 1 3 1 3 2 0 1 1 1 0 2 0 2 3 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 3 1 2",42,3,1,4,5,0,1,1
hsp2,3,1,hsp2,"0 3 0 3 1 2 3 1 2 0 3 1 3 1 3 2 0 1 1 1 0 2 0 2 3 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 1 1 2",43,1,3,5,3,0,1,1
hsp2,3,2,hsp2,"0 3 0 3 1 2 3 1 2 0 3 1 3 1 3 2 0 1 1 1 0 2 0 2 3 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 1 3 2",4,1,2,3,3,0,1,1
hsp2,3,3,hsp2,"0 3 0 3 2 2 3 1 2 0 3 1 3 1 3 2 0 1 1 1 0 2 0 2 3 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 1 3 2",26,2,3,3,4,0,1,1
hsp2,3,4,hsp2,"0 3 0 3 2 2 3 1 2 0 3 1 3 1 3 2 0 1 1 1 0 2 0 2 3 2 3 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 1 3 2",1,3,1,4,3,0,1,1
hsp2,3,5,hsp2,"0 1 0 3 2 2 3 1 2 0 3 1 3 1 3 2 0 1 1 1 0 2 0 2 3 2 3 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 1 3 2",13,1,0,3,2,0,1,1
hsp2,3,6,hsp2,"0 1 0 3 2 2 3 1 2 0 3 1 3 0 3 2 0 1 1 1 0 2 0 2 3 2 3 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 1 3 2",40,0,1,2,1,0,1,1
hsp2,3,7,hsp2,"0 1 0 3 2 2 3 1 2 0 3 1 3 0 3 2 0 1 1 1 0 2 0 2 3 2 3 1 1 3 3 0 1 2 1 0 2 1 0 2 1 1 1 3 2",11,1,2,1,0,0,1,1
hsp2,4,0,hsp2,"0 0 3 3 3 3 0 0 0 0 3 2 2 2 1 1 0 1 3 0 3 1 0 2 1 3 0 1 1 1 2 2 0 3 1 1 0 0 2 2 3 0 0 1 2",39,2,0,6,5,0,1,1
hsp2,4,1,hsp2,"0 0 3 3 3 3 0 0 0 0 3 2 2 2 1 1 0 1 3 0 3 1 0 2 1 3 0 1 1 1 2 2 0 3 1 1 0 0 2 0 3 0 0 1 2",8,0,2,5,2,0,1,1
hsp2,4,2,hsp2,"0 0 3 3 3 3 0 0 2 0 3 2 2 2 1 1 0 1 3 0 3 1 0 2 1 3 0 1 1 1 2 2 0 3 1 1 0 0 2 0 3 0 0 1 2",36,0,2,2,1,0,1,1
hsp2,4,3,hsp2,"0 0 3 3 3 3 0 0 2 0 3 2 2 2 1 1 0 1 3 0 3 1 0 2 1 3 0 1 1 1 2 2 0 3 1 1 2 0 2 0 3 0 0 1 2",23,2,1,1,1,0,1,1
hsp2,4,4,hsp2,"0 0 3 3 3 3 0 0 2 0 3 2 2 2 1 1 0 1 3 0 3 1 0 1 1 3 0 1 1 1 2 2 0 3 1 1 2 0 2 0 3 0 0 1 2",16,0,2,1,1,0,1,1
hsp2,4,5,hsp2,"0 0 3 3 3 3 0 0 2 0 3 2 2 2 1 1 2 1 3 0 3 1 0 1 1 3 0 1 1 1 2 2 0 3 1 1 2 0 2 0 3 0 0 1 2",25,3,0,1,1,0,1,1
hsp2,4,6,hsp2,"0 0 3 3 3 3 0 0 2 0 3 2 2 2 1 1 2 1 3 0 3 1 0 1 1 0 0 1 1 1 2 2 0 3 1 1 2 0 2 0 3 0 0 1 2",12,2,3,1,0,0,1,1
hsp2,5,0,hsp2,"3 1 2 2 0 3 3 1 0 0 1 2 2 1 0 3 0 0 3 0 0 1 1 3 2 2 3 1 1 1 0 0 3 0 0 1 1 2 2 0 1 2 2 0 1",16,0,2,5,2,0,1,1
hsp2,5,1,hsp2,"3 1 2 2 0 3 3 1 0 0 1 2 2 1 0 3 2 0 3 0 0 1 1 3 2 2 3 1 1 1 0 0 3 0 0 1 1 2 2 0 1 2 2 0 1",13,1,3,2,2,0,1,1
hsp2,5,2,hsp2,"3 1 2 2 0 3 3 1 0 0 1 2 2 3 0 3 2 0 3 0 0 1 1 3 2 2 3 1 1 1 0 0 3 0 0 1 1 2 2 0 1 2 2 0 1",28,1,3,2,1,0,1,1
hsp2,5,3,hsp2,"3 1 2 2 0 3 3 1 0 0 1 2 2 3 0 3 2 0 3 0 0 1 1 3 2 2 3 1 3 1 0 0 3 0 0 1 1 2 2 0 1 2 2 0 1",0,3,1,1,0,0,1,1
hsp2,6,0,hsp2,"0 2 0 3 3 1 0 3 3 3 2 2 0 1 0 2 1 1 3 1 1 1 0 1 0 2 0 2 0 1 0 2 3 2 2 2 1 1 1 0 2 1 0 1 2",33,2,1,7,5,0,1,1
hsp2,6,1,hsp2,"0 2 0 3 3 1 0 3 3 3 2 2 0 1 0 2 1 1 3 1 1 1 0 1 0 2 0 2 0 1 0 2 3 1 2 2 1 1 1 0 2 1 0 1 2",26,0,3,5,3,0,1,1
hsp2,6,2,hsp2,"0 2 0 3 3 1 0 3 3 3 2 2 0 1 0 2 1 1 3 1 1 1 0 1 0 2 3 2 0 1 0 2 3 1 2 2 1 1 1 0 2 1 0 1 2",5,1,3,3,1,0,1,1
hsp2,6,3,hsp2,"0 2 0 3 3 3 0 3 3 3 2 2 0 1 0 2 1 1 3 1 1 1 0 1 0 2 3 2 0 1 0 2 3 1 2 2 1 1 1 0 2 1 0 1 2",7,3,0,1,0,0,1,1
hsp2,7,0,hsp2,"0 0 0 0 3 3 3 1 3 1 0 0 1 3 3 2 1 0 1 2 2 3 1 2 3 2 0 2 1 1 2 1 3 2 0 0 1 3 3 1 2 3 3 3 3",17,0,2,4,3,0,1,1
hsp2,7,1,hsp2,"0 0 0 0 3 3 3 1 3 1 0 0 1 3 3 2 1 2 1 2 2 3 1 2 3 2 0 2 1 1 2 1 3 2 0 0 1 3 3 1 2 3 3 3 3",43,3,0,3,2,0,1,1
hsp2,7,2,hsp2,"0 0 0 0 3 3 3 1 3 1 0 0 1 3 3 2 1 2 1 2 2 3 1 2 3 2 0 2 1 1 2 1 3 2 0 0 1 3 3 1 2 3 3 0 3",29,1,3,2,2,0,1,1
hsp2,7,3,hsp2,"0 0 0 0 3 3 3 1 3 1 0 0 1 3 3 2 1 2 1 2 2 3 1 2 3 2 0 2 1 3 2 1 3 2 0 0 1 3 3 1 2 3 3 0 3",23,2,1,2,1,0,1,1
hsp2,7,4,hsp2,"0 0 0 0 3 3 3 1 3 1 0 0 1 3 3 2 1 2 1 2 2 3 1 1 3 2 0 2 1 3 2 1 3 2 0 0 1 3 3 1 2 3 3 0 3",17,2,1,1,0,0,1,1
hsp2,8,0,hsp2,"2 1 3 3 3 3 2 0 3 3 0 2 3 1 0 1 1 0 3 3 0 0 2 3 3 2 1 0 3 2 2 0 3 0 0 1 1 1 2 1 2 0 0 1 3",14,0,3,4,5,0,1,1
hsp2,8,1,hsp2,"2 1 3 3 3 3 2 0 3 3 0 2 3 1 3 1 1 0 3 3 0 0 2 3 3 2 1 0 3 2 2 0 3 0 0 1 1 1 2 1 2 0 0 1 3",33,0,3,5,6,0,1,1
hsp2,8,2,hsp2,"2 1 3 3 3 3 2 0 3 3 0 2 3 1 3 1 1 0 3 3 0 0 2 3 3 2 1 0 3 2 2 0 3 3 0 1 1 1 2 1 2 0 0 1 3",17,0,2,6,5,0,1,1
hsp2,8,3,hsp2,"2 1 3 3 3 3 2 0 3 3 0 2 3 1 3 1 1 2 3 3 0 0 2 3 3 2 1 0 3 2 2 0 3 3 0 1 1 1 2 1 2 0 0 1 3",9,3,1,5,4,0,1,1
hsp2,8,4,hsp2,"2 1 3 3 3 3 2 0 3 1 0 2 3 1 3 1 1 2 3 3 0 0 2 3 3 2 1 0 3 2 2 0 3 3 0 1 1 1 2 1 2 0 0 1 3",32,3,1,4,3,0,1,1
hsp2,8,5,hsp2,"2 1 3 3 3 3 2 0 3 1 0 2 3 1 3 1 1 2 3 3 0 0 2 3 3 2 1 0 3 2 2 0 1 3 0 1 1 1 2 1 2 0 0 1 3",14,3,0,3,2,0,1,1
hsp2,8,6,hsp2,"2 1 3 3 3 3 2 0 3 1 0 2 3 1 0 1 1 2 3 3 0 0 2 3 3 2 1 0 3 2 2 0 1 3 0 1 1 1 2 1 2 0 0 1 3",1,1,2,2,2,0,1,1
hsp2,8,7,hsp2,"2 2 3 3 3 3 2 0 3 1 0 2 3 1 0 1 1 2 3 3 0 0 2 3 3 2 1 0 3 2 2 0 1 3 0 1 1 1 2 1 2 0 0 1 3",24,3,1,2,1,0,1,1
hsp2,8,8,hsp2,"2 2 3 3 3 3 2 0 3 1 0 2 3 1 0 1 1 2 3 3 0 0 2 3 1 2 1 0 3 2 2 0 1 3 0 1 1 1 2 1 2 0 0 1 3",32,1,0,1,0,0,1,1
hsp2,9,0,hsp2,"0 0 1 0 0 1 1 2 1 3 1 1 1 3 3 0 0 3 0 3 3 2 2 1 3 1 1 2 1 1 0 2 3 0 2 2 2 2 0 3 3 1 0 2 1",23,1,0,4,3,0,1,1
hsp2,9,1,hsp2,"0 0 1 0 0 1 1 2 1 3 1 1 1 3 3 0 0 3 0 3 3 2 2 0 3 1 1 2 1 1 0 2 3 0 2 2 2 2 0 3 3 1 0 2 1",10,1,3,3,2,0,1,1
hsp2,9,2,hsp2,"0 0 1 0 0 1 1 2 1 3 3 1 1 3 3 0 0 3 0 3 3 2 2 0 3 1 1 2 1 1 0 2 3 0 2 2 2 2 0 3 3 1 0 2 1",31,2,0,2,3,0,1,1
hsp2,9,3,hsp2,"0 0 1 0 0 1 1 2 1 3 3 1 1 3 3 0 0 3 0 3 3 2 2 0 3 1 1 2 1 1 0 0 3 0 2 2 2 2 0 3 3 1 0 2 1",23,0,3,3,2,0,1,1
hsp2,9,4,hsp2,"0 0 1 0 0 1 1 2 1 3 3 1 1 3 3 0 0 3 0 3 3 2 2 3 3 1 1 2 1 1 0 0 3 0 2 2 2 2 0 3 3 1 0 2 1",35,2,3,2,2,0,1,1
hsp2,9,5,hsp2,"0 0 1 0 0 1 1 2 1 3 3 1 1 3 3 0 0 3 0 3 3 2 2 3 3 1 1 2 1 1 0 0 3 0 2 3 2 2 0 3 3 1 0 2 1",14,3,2,2,1,0,1,1
hsp2,9,6,hsp2,"0 0 1 0 0 1 1 2 1 3 3 1 1 3 2 0 0 3 0 3 3 2 2 3 3 1 1 2 1 1 0 0 3 0 2 3 2 2 0 3 3 1 0 2 1",1,0,2,1,0,0,1,1
hsp2,10,0,hsp2,"3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 0 0 0 1 2 0 2 0 1 1 1 0 0 1 2 3 3 1 0 2",39,2,0,4,3,0,1,1
hsp2,10,1,hsp2,"3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 0 0 0 1 2 0 2 0 1 1 1 0 0 1 0 3 3 1 0 2",26,0,1,3,2,0,1,1
hsp2,10,2,hsp2,"3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 0 1 0 1 2 0 2 0 1 1 1 0 0 1 0 3 3 1 0 2",17,3,2,2,3,0,1,1
hsp2,10,3,hsp2,"3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 2 0 3 2 2 2 1 0 0 1 0 1 2 0 2 0 1 1 1 0 0 1 0 3 3 1 0 2",35,1,3,3,2,0,1,1
hsp2,10,4,hsp2,"3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 2 0 3 2 2 2 1 0 0 1 0 1 2 0 2 0 1 1 3 0 0 1 0 3 3 1 0 2",32,0,2,2,2,0,1,1
hsp2,10,5,hsp2,"3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 2 0 3 2 2 2 1 0 0 1 0 1 2 0 2 2 1 1 3 0 0 1 0 3 3 1 0 2",20,2,3,2,0,0,1,1
hsp2,11,0,hsp2,"0 3 1 2 1 2 2 0 3 3 1 0 1 0 1 3 2 2 2 2 2 0 0 0 0 2 3 1 1 1 2 0 1 3 1 3 2 0 3 0 0 1 2 0 1",33,3,2,6,7,0,1,1
hsp2,11,1,hsp2,"0 3 1 2 1 2 2 0 3 3 1 0 1 0 1 3 2 2 2 2 2 0 0 0 0 2 3 1 1 1 2 0 1 2 1 3 2 0 3 0 0 1 2 0 1",11,0,3,7,4,0,1,1
hsp2,11,2,hsp2,"0 3 1 2 1 2 2 0 3 3 1 3 1 0 1 3 2 2 2 2 2 0 0 0 0 2 3 1 1 1 2 0 1 2 1 3 2 0 3 0 0 1 2 0 1",37,0,1,4,4,0,1,1
hsp2,11,3,hsp2,"0 3 1 2 1 2 2 0 3 3 1 3 1 0 1 3 2 2 2 2 2 0 0 0 0 2 3 1 1 1 2 0 1 2 1 3 2 1 3 0 0 1 2 0 1",44,1,3,4,4,0,1,1
hsp2,11,4,hsp2,"0 3 1 2 1 2 2 0 3 3 1 3 1 0 1 3 2 2 2 2 2 0 0 0 0 2 3 1 1 1 2 0 1 2 1 3 2 1 3 0 0 1 2 0 3",24,0,2,4,7,0,1,1
hsp2,11,5,hsp2,"0 3 1 2 1 2 2 0 3 3 1 3 1 0 1 3 2 2 2 2 2 0 0 0 2 2 3 1 1 1 2 0 1 2 1 3 2 1 3 0 0 1 2 0 3",34,1,2,7,5,0,1,1
hsp2,11,6,hsp2,"0 3 1 2 1 2 2 0 3 3 1 3 1 0 1 3 2 2 2 2 2 0 0 0 2 2 3 1 1 1 2 0 1 2 2 3 2 1 3 0 0 1 2 0 3",24,2,0,5,2,0,1,1
hsp2,11,7,hsp2,"0 3 1 2 1 2 2 0 3 3 1 3 1 0 1 3 2 2 2 2 2 0 0 0 0 2 3 1 1 1 2 0 1 2 2 3 2 1 3 0 0 1 2 0 3",33,2,1,2,0,0,1,1
hsp2,12,0,hsp2,"1 3 3 0 0 3 3 3 0 1 1 3 0 0 2 0 3 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 0 2 2 1 0 1 2 1 0 3 3 3 3",38,2,0,9,10,0,1,1
