round,map_seed,rng_seed,step,outer_loop,module,region,old_color,new_color,conflicts_before,conflicts_after
1,9005,100010,1,0,min_conflicts,44,1,2,5,3
1,9005,100010,2,0,min_conflicts,42,0,1,3,2
2,9023,100020,1,0,min_conflicts,22,1,3,4,3
2,9023,100020,2,0,min_conflicts,26,0,1,3,2
2,9023,100020,3,0,hsp2,5,2,3,2,1
2,9023,100020,4,0,hsp2,30,3,2,1,0
3,9035,100030,1,0,min_conflicts,13,1,2,4,3
3,9035,100030,2,0,min_conflicts,37,1,0,3,2
3,9035,100030,3,0,min_conflicts,7,1,3,2,1
3,9035,100030,4,0,hsp2,41,1,3,1,2
3,9035,100030,5,0,hsp2,24,3,1,2,0
4,9053,100040,1,0,min_conflicts,41,0,3,6,5
4,9053,100040,2,0,min_conflicts,9,0,2,5,4
4,9053,100040,3,0,min_conflicts,42,0,3,4,3
4,9053,100040,4,0,min_conflicts,39,2,0,3,2
4,9053,100040,5,0,min_conflicts,22,0,2,2,1
5,9055,100050,1,0,min_conflicts,16,0,2,5,2
5,9055,100050,2,0,min_conflicts,28,1,3,2,1
5,9055,100050,3,0,hsp2,13,1,3,1,1
5,9055,100050,4,0,hsp2,0,3,1,1,0
6,9056,100060,1,0,min_conflicts,33,2,1,7,5
6,9056,100060,2,0,min_conflicts,42,0,2,5,4
6,9056,100060,3,0,min_conflicts,36,1,3,4,3
6,9056,100060,4,0,min_conflicts,19,1,3,3,2
6,9056,100060,5,0,min_conflicts,26,0,3,2,1
6,9056,100060,6,0,hsp2,5,1,2,1,2
6,9056,100060,7,0,hsp2,1,2,0,2,1
6,9056,100060,8,1,min_conflicts,40,2,1,1,0
7,9057,100070,1,0,min_conflicts,2,0,1,4,3
7,9057,100070,2,0,min_conflicts,20,2,1,3,2
7,9057,100070,3,0,min_conflicts,21,3,0,2,1
7,9057,100070,4,0,hsp2,11,0,3,1,2
7,9057,100070,5,0,hsp2,19,2,0,2,2
7,9057,100070,6,0,hsp2,11,3,2,2,0
8,9061,100080,1,0,min_conflicts,9,3,1,4,3
8,9061,100080,2,0,min_conflicts,17,0,2,3,1
8,9061,100080,3,0,hsp2,20,0,3,1,2
8,9061,100080,4,0,hsp2,19,3,0,2,0
9,9067,100090,1,0,min_conflicts,10,1,3,4,3
9,9067,100090,2,0,min_conflicts,23,1,3,3,1
9,9067,100090,3,0,hsp2,6,1,3,1,2
9,9067,100090,4,0,hsp2,14,3,1,2,0
10,9069,100100,1,0,min_conflicts,43,0,3,4,3
10,9069,100100,2,0,min_conflicts,39,2,0,3,2
10,9069,100100,3,0,hsp2,35,1,3,2,2
10,9069,100100,4,0,hsp2,26,0,1,2,0
11,9058,100110,1,0,min_conflicts,37,0,2,6,5
11,9058,100110,2,0,min_conflicts,11,0,3,5,2
11,9058,100110,3,0,min_conflicts,27,1,2,2,1
11,9058,100110,4,0,hsp2,33,3,1,1,1
11,9058,100110,5,0,hsp2,44,1,3,1,0
12,9088,100120,1,0,min_conflicts,25,0,1,9,8
12,9088,100120,2,0,min_conflicts,44,3,0,8,7
12,9088,100120,3,0,min_conflicts,5,3,2,7,5
12,9088,100120,4,0,min_conflicts,3,0,1,5,2
12,9088,100120,5,0,hsp2,40,0,1,2,2
12,9088,100120,6,0,hsp2,22,1,3,2,1
12,9088,100120,7,1,hsp2,19,2,0,1,1
12,9088,100120,8,2,min_conflicts,40,1,2,1,0
13,9096,100130,1,0,min_conflicts,34,1,3,8,6
13,9096,100130,2,0,min_conflicts,4,1,2,6,5
13,9096,100130,3,0,min_conflicts,1,3,0,5,4
13,9096,100130,4,0,hsp2,10,1,2,4,3
