round,action_index,region,old_color,new_color,center_dist,step_delta_center_dist,solved,final_conflicts
1,0,34,0,3,7.780102827083971,,True,0
1,1,11,1,0,1.7716909687891076,-6.008411858294863,True,0
1,2,26,0,2,2.213594362117865,0.4419033933287575,True,0
1,3,44,1,0,4.825971404805461,2.612377042687596,True,0
2,0,38,2,3,2.102379604162864,,True,0
2,1,26,0,1,9.300537618869138,7.198158014706273,True,0
2,2,27,3,2,3.0413812651491097,-6.259156353720028,True,0
2,3,22,1,3,4.911720676097125,1.8703394109480151,True,0
2,4,15,2,3,6.324555320336759,1.4128346442396342,True,0
2,5,9,3,0,8.980882473343028,2.656327153006269,True,0
3,0,42,3,1,6.9731628404906765,,True,0
3,1,43,1,3,3.566822426505449,-3.4063404139852276,True,0
3,2,26,2,1,7.094231811831356,3.5274093853259068,True,0
3,3,11,1,0,8.872554436137442,1.778322624306086,True,0
3,4,42,1,2,6.9731628404906765,-1.8993915956467653,True,0
3,5,9,0,2,8.517954892787092,1.5447920522964154,True,0
4,0,39,2,0,3.2466623363895746,,True,0
4,1,8,0,1,7.632168761236874,4.385506424847299,True,0
4,2,40,3,1,9.617692030835672,1.985523269598798,True,0
4,3,8,1,3,7.632168761236874,-1.985523269598798,True,0
4,4,36,0,2,5.565968020030299,-2.0662007412065746,True,0
5,0,16,0,2,8.666732077199525,,True,0
5,1,13,1,3,8.526103708285776,-0.1406283689137488,True,0
5,2,21,1,3,6.674994798166928,-1.851108910118848,True,0
5,3,0,3,1,7.905694150420948,1.2306993522540202,True,0
6,0,33,2,1,7.149282824029217,,True,0
6,1,26,0,3,5.70087712549569,-1.4484056985335272,True,0
6,2,7,3,0,5.023414563576354,-0.6774625619193353,True,0
6,3,5,1,3,3.430059201012277,-1.5933553625640775,True,0
7,0,17,0,2,5.921148537234985,,True,0
7,1,43,3,0,4.272001872658765,-1.6491466645762198,True,0
7,2,30,2,3,6.914156170897179,2.642154298238414,True,0
7,3,20,2,1,1.6770509831248424,-5.237105187772337,True,0
7,4,14,3,2,9.10494371207203,7.427892728947188,True,0
8,0,25,2,1,7.403546447480424,,True,0
8,1,20,0,3,4.799022009211664,-2.6045244382687596,True,0
8,2,19,3,0,3.430059201012277,-1.3689628081993872,True,0
8,3,17,0,2,4.716990566028302,1.2869313650160246,True,0
8,4,9,3,1,8.139410298049853,3.4224197320215515,True,0
8,5,25,1,2,7.403546447480424,-0.7358638505694293,True,0
9,0,6,1,3,2.9364006844420665,,True,0
9,1,23,1,3,5.253764442409513,2.3173637579674464,True,0
9,2,14,3,1,5.134307266916455,-0.119457175493058,True,0
9,3,10,1,3,9.962429422585638,4.828122155669183,True,0
10,0,39,2,0,2.23606797749979,,True,0
10,1,26,0,2,6.324555320336759,4.088487342836969,True,0
10,2,43,0,3,9.80472605742886,3.4801707370921013,True,0
10,3,35,1,3,6.5690989659533825,-3.235627091475478,True,0
10,4,26,2,1,6.324555320336759,-0.2445436456166234,True,0
11,0,33,3,2,2.6087459737497554,,True,0
11,1,11,0,1,5.297405025104273,2.6886590513545174,True,0
11,2,37,0,2,6.490377492873585,1.1929724677693123,True,0
11,3,27,1,2,3.7453675090407055,-2.7450099838328796,True,0
11,4,44,1,3,4.816002237439307,1.070634728398602,True,0
11,5,33,2,1,2.6087459737497554,-2.207256263689552,True,0
12,0,38,2,0,3.0413812651491097,,True,0
12,1,22,1,2,6.174544517614234,3.1331632524651245,True,0
12,2,5,3,0,6.189709201569974,0.0151646839557395,True,0
12,3,13,0,2,0.4242640687119289,-5.765445132858045,True,0
12,4,36,0,1,4.997999599839919,4.573735531127991,True,0
12,5,40,0,1,3.259601202601325,-1.7383983972385946,True,0
12,6,5,0,2,6.189709201569974,2.930107998968649,True,0
13,0,27,2,1,1.5,,True,0
13,1,1,3,0,6.168918507773916,4.668918507773916,True,0
13,2,36,0,3,4.126472801046649,-2.0424457067272668,True,0
13,3,10,1,3,5.836308764964376,1.709835963917727,True,0
13,4,5,3,2,8.372574275573792,2.5362655106094154,True,0
13,5,34,1,0,3.6443449342783127,-4.728229341295479,True,0
13,6,29,2,3,4.6097722286464435,0.9654272943681308,True,0
13,7,27,1,0,1.5,-3.1097722286464435,True,0
13,8,13,1,2,3.6443449342783127,2.1443449342783127,True,0
13,9,39,0,2,2.102379604162864,-1.5419653301154486,True,0
13,10,27,0,1,1.5,-0.6023796041628642,True,0
14,0,31,2,3,4.929088999738891,,True,0
14,1,15,1,2,7.074995092263707,2.1459060925248163,True,0
14,2,36,1,0,1.6414763002993509,-5.433518791964357,True,0
14,3,44,3,0,7.810249675906654,6.168773375607303,True,0
14,4,23,2,1,5.233439489369194,-2.57681018653746,True,0
14,5,9,2,0,9.66235536042383,4.4289158710546355,True,0
15,0,3,2,0,7.516648189186454,,True,0
15,1,27,1,3,7.300684899377592,-0.2159632898088626,True,0
15,2,21,3,0,8.681077762070277,1.3803928626926858,True,0
15,3,20,0,2,9.192388155425116,0.5113103933548402,True,0
15,4,10,0,2,8.96172416446746,-0.2306639909576571,True,0
15,5,0,0,2,7.063206700139031,-1.898517464328429,True,0
