round,rep,step,region,center_dist
1,0,1,10,3.0413812651491097
1,0,2,18,5.262551134615649
1,0,3,43,3.905124837953327
1,0,4,38,4.670385423067351
1,0,5,17,3.80058475033046
1,0,6,37,4.250816914952283
1,1,1,15,3.374742788552764
1,1,2,4,4.924428900898052
1,1,3,35,6.800735254367722
1,2,1,15,3.374742788552764
1,2,2,26,2.213594362117865
1,3,1,11,1.7716909687891076
1,3,2,0,1.5811388300841898
1,3,3,32,4.301162633521313
1,3,4,39,4.716990566028302
1,3,5,8,1.5365907428821477
1,3,6,15,3.374742788552764
1,3,7,5,6.4031242374328485
1,3,8,11,1.7716909687891076
1,3,9,26,2.213594362117865
1,3,10,0,1.5811388300841898
1,3,11,39,4.716990566028302
1,3,12,17,3.80058475033046
1,3,13,5,6.4031242374328485
1,4,1,10,3.0413812651491097
1,4,2,8,1.5365907428821477
1,4,3,0,1.5811388300841898
1,5,1,11,1.7716909687891076
1,5,2,8,1.5365907428821477
1,5,3,0,1.5811388300841898
1,6,1,15,3.374742788552764
1,6,2,4,4.924428900898052
1,6,3,35,6.800735254367722
1,7,1,10,3.0413812651491097
1,7,2,18,5.262551134615649
1,7,3,43,3.905124837953327
1,7,4,38,4.670385423067351
1,7,5,17,3.80058475033046
1,7,6,37,4.250816914952283
1,8,1,11,1.7716909687891076
1,8,2,8,1.5365907428821477
1,8,3,0,1.5811388300841898
1,9,1,15,3.374742788552764
1,9,2,4,4.924428900898052
1,9,3,35,6.800735254367722
1,10,1,14,5.5901699437494745
1,10,2,34,7.780102827083971
1,11,1,11,1.7716909687891076
1,11,2,8,1.5365907428821477
1,11,3,0,1.5811388300841898
1,12,1,11,1.7716909687891076
1,12,2,26,2.213594362117865
1,12,3,44,4.825971404805461
1,12,4,34,7.780102827083971
1,13,1,15,3.374742788552764
1,13,2,4,4.924428900898052
1,13,3,35,6.800735254367722
1,14,1,15,3.374742788552764
1,14,2,26,2.213594362117865
1,14,3,11,1.7716909687891076
1,14,4,8,1.5365907428821477
1,14,5,0,1.5811388300841898
1,14,6,11,1.7716909687891076
1,15,1,15,3.374742788552764
1,15,2,26,2.213594362117865
1,16,1,14,5.5901699437494745
1,16,2,20,4.031128874149275
1,16,3,4,4.924428900898052
1,16,4,7,7.213269023126754
1,16,5,32,4.301162633521313
1,16,6,42,9.60052081920559
1,17,1,15,3.374742788552764
1,17,2,4,4.924428900898052
1,17,3,35,6.800735254367722
1,18,1,10,3.0413812651491097
1,18,2,9,4.374801582802229
1,18,3,39,4.716990566028302
1,18,4,5,6.4031242374328485
1,19,1,11,1.7716909687891076
1,19,2,26,2.213594362117865
1,19,3,44,4.825971404805461
1,19,4,34,7.780102827083971
1,20,1,10,3.0413812651491097
1,20,2,18,5.262551134615649
1,20,3,43,3.905124837953327
1,20,4,38,4.670385423067351
1,20,5,17,3.80058475033046
1,21,1,15,3.374742788552764
1,21,2,4,4.924428900898052
1,21,3,35,6.800735254367722
1,22,1,15,3.374742788552764
1,22,2,26,2.213594362117865
1,22,3,44,4.825971404805461
1,22,4,20,4.031128874149275
1,22,5,14,5.5901699437494745
1,22,6,7,7.213269023126754
1,23,1,15,3.374742788552764
1,23,2,26,2.213594362117865
1,24,1,11,1.7716909687891076
1,24,2,8,1.5365907428821477
1,24,3,0,1.5811388300841898
1,25,1,10,3.0413812651491097
1,25,2,8,1.5365907428821477
1,25,3,0,1.5811388300841898
1,25,4,11,1.7716909687891076
1,25,5,10,3.0413812651491097
1,26,1,15,3.374742788552764
1,26,2,26,2.213594362117865
1,26,3,44,4.825971404805461
1,26,4,34,7.780102827083971
1,27,1,44,4.825971404805461
1,27,2,20,4.031128874149275
1,27,3,13,6.7364679172397155
1,27,4,26,2.213594362117865
1,27,5,25,9.280355596635292
1,27,6,7,7.213269023126754
1,27,7,13,6.7364679172397155
1,28,1,15,3.374742788552764
1,28,2,4,4.924428900898052
1,28,3,35,6.800735254367722
1,29,1,10,3.0413812651491097
1,29,2,8,1.5365907428821477
1,29,3,0,1.5811388300841898
1,30,1,15,3.374742788552764
1,30,2,26,2.213594362117865
1,30,3,11,1.7716909687891076
1,30,4,15,3.374742788552764
1,30,5,4,4.924428900898052
1,30,6,35,6.800735254367722
1,31,1,15,3.374742788552764
1,31,2,26,2.213594362117865
1,31,3,11,1.7716909687891076
1,31,4,8,1.5365907428821477
1,31,5,0,1.5811388300841898
1,31,6,11,1.7716909687891076
1,32,1,10,3.0413812651491097
1,32,2,9,4.374801582802229
1,32,3,39,4.716990566028302
1,32,4,5,6.4031242374328485
1,33,1,10,3.0413812651491097
1,33,2,9,4.374801582802229
1,33,3,39,4.716990566028302
1,33,4,5,6.4031242374328485
1,34,1,10,3.0413812651491097
1,34,2,18,5.262551134615649
1,34,3,43,3.905124837953327
1,34,4,38,4.670385423067351
1,34,5,17,3.80058475033046
1,35,1,11,1.7716909687891076
1,35,2,8,1.5365907428821477
1,35,3,0,1.5811388300841898
1,36,1,15,3.374742788552764
1,36,2,4,4.924428900898052
1,36,3,35,6.800735254367722
1,37,1,15,3.374742788552764
1,37,2,4,4.924428900898052
