round,seed,source,difficultyLabel,optimalLength,planningRequirementCollected,treeAgentSolved,treeAgentSteps,treeAgentFinalConflictEdges,treeAgentElapsedSeconds
1,9005,existing_unsolved,medium,4,1,False,100,3,5.293
2,9019,existing_unsolved,medium,4,1,False,100,1,3.4394
3,9023,existing_unsolved,medium,4,1,False,100,1,7.0956
4,9035,existing_unsolved,medium,4,1,False,100,1,6.9404
5,9037,existing_unsolved,medium,4,1,False,100,3,5.0367
6,9053,existing_unsolved,medium,4,1,False,100,1,6.2665
7,9055,existing_unsolved,medium,4,1,False,100,1,3.6459
8,9056,existing_unsolved,medium,4,1,False,100,1,6.6125
9,9057,existing_unsolved,medium,4,1,False,100,1,6.8562
10,9061,existing_unsolved,medium,4,1,False,100,1,4.2834
11,9067,existing_unsolved,medium,4,1,False,100,1,4.0272
12,9069,existing_unsolved,medium,4,1,False,100,1,5.115
13,9081,existing_unsolved,medium,4,1,False,100,1,3.5965
14,9058,existing_unsolved,medium,5,1,False,100,1,4.9526
15,9088,existing_unsolved,medium,5,1,False,100,1,5.5614
16,9096,existing_unsolved,medium,5,1,False,100,1,6.0475
17,9008,existing_unsolved,other,6,1,False,100,1,4.039
18,9028,existing_unsolved,other,6,1,False,100,1,6.1825
19,9090,existing_unsolved,other,6,1,False,100,3,7.4949
20,9098,existing_unsolved,other,6,1,False,100,3,6.2792
21,9106,new_generated,medium,4,1,False,100,3,3.7042
22,9110,new_generated,medium,4,1,False,100,3,3.2938
23,9121,new_generated,medium,5,1,False,100,1,4.1293
24,9135,new_generated,medium,4,1,False,100,1,4.1489
25,9142,new_generated,medium,4,1,False,100,1,5.5741
26,9149,new_generated,medium,4,1,False,100,1,6.293
27,9153,new_generated,other,6,1,False,100,1,8.5032
28,9155,new_generated,medium,5,1,False,100,1,4.0227
29,9157,new_generated,medium,5,1,False,100,4,3.7349
30,9160,new_generated,medium,4,1,False,100,1,5.5465
31,9163,new_generated,medium,5,1,False,100,3,5.2394
32,9169,new_generated,other,6,1,False,100,1,4.2826
33,9175,new_generated,medium,5,1,False,100,3,3.2978
34,9215,new_generated,medium,5,1,False,100,1,5.1227
35,9218,new_generated,medium,4,1,False,100,1,3.7089
36,9227,new_generated,other,6,1,False,100,3,5.3355
37,9232,new_generated,medium,4,1,False,100,2,5.1161
38,9233,new_generated,medium,4,1,False,100,3,5.5694
39,9245,new_generated,medium,4,1,False,100,1,4.2232
40,9246,new_generated,medium,4,1,False,100,1,4.8772
