participant,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,cluster
0,0.3181818181818182,0.2692307692307692,0.12,0.16666666666666666,0.2222222222222222,0.09090909090909091,0.08333333333333333,0.07894736842105263,0.07317073170731707,0.21568627450980393,0
031,0.7272727272727273,0.75,0.7586206896551724,0.6857142857142857,0.6842105263157895,0.5263157894736842,0.358974358974359,0.2653061224489796,0.6078431372549019,0.5660377358490566,4
24,1.0,0.9642857142857143,0.9629629629629629,0.7407407407407407,0.5151515151515151,0.23529411764705882,0.40540540540540543,0.46511627906976744,0.11363636363636363,0.08888888888888889,2
311,0.95,0.875,0.96,0.9310344827586207,0.8484848484848485,0.9411764705882353,0.9722222222222222,0.9210526315789473,0.9512195121951219,0.9787234042553191,1
Aa,0.9473684210526315,1.0,0.96,0.8148148148148148,0.8387096774193549,0.9142857142857143,0.7297297297297297,0.9210526315789473,0.8536585365853658,0.9090909090909091,1
FLT,1.0,0.9545454545454546,0.8275862068965517,0.8695652173913043,0.918918918918919,0.8333333333333334,0.9056603773584906,0.9743589743589743,0.9629629629629629,0.9591836734693877,1
Rex,0.8421052631578947,1.0,0.9,0.7931034482758621,0.7741935483870968,0.9117647058823529,0.7297297297297297,0.717948717948718,0.9090909090909091,0.875,1
Wangyudie,0.6176470588235294,0.9523809523809523,1.0,0.896551724137931,0.8666666666666667,0.9743589743589743,0.9210526315789473,0.9473684210526315,0.975609756097561,0.9545454545454546,1
cmf,0.85,0.9090909090909091,0.96,0.9310344827586207,0.7666666666666667,0.8529411764705882,0.7297297297297297,0.8333333333333334,0.8181818181818182,0.8181818181818182,1
fzm,0.9411764705882353,1.0,1.0,0.9615384615384616,0.9333333333333333,0.7575757575757576,0.9705882352941176,0.9459459459459459,0.9523809523809523,0.9545454545454546,1
lyc,0.15789473684210525,0.5,0.96,0.7777777777777778,0.8333333333333334,0.8484848484848485,0.9722222222222222,0.9210526315789473,0.975,0.9206349206349206,5
qhw,0.8846153846153846,0.7391304347826086,0.9642857142857143,0.8620689655172413,0.8,0.5142857142857142,0.4444444444444444,0.5333333333333333,0.3488372093023256,0.391304347826087,4
yyq,0.631578947368421,0.5454545454545454,0.7307692307692307,0.6071428571428571,0.7666666666666667,0.8484848484848485,0.5277777777777778,0.6052631578947368,0.5952380952380952,0.5681818181818182,4
zhangcheng,0.425,0.42857142857142855,0.4,0.5128205128205128,0.6363636363636364,0.5135135135135135,0.6190476190476191,0.5853658536585366,0.5853658536585366,0.7058823529411765,3
杨田印盈,0.9473684210526315,0.8,0.6153846153846154,0.5483870967741935,0.6333333333333333,0.3888888888888889,0.4146341463414634,0.3695652173913043,0.5116279069767442,0.9047619047619048,4
熊雯雯,0.2,0.13636363636363635,0.11320754716981132,0.0967741935483871,0.08823529411764706,0.09090909090909091,0.13953488372093023,0.075,0.06976744186046512,0.06818181818181818,0
程子健,1.0,0.8181818181818182,0.6206896551724138,0.17857142857142858,0.21621621621621623,0.09090909090909091,0.10810810810810811,0.07894736842105263,0.07317073170731707,0.06521739130434782,2
赵雅菲,0.9047619047619048,0.9411764705882353,0.96,0.7647058823529411,0.967741935483871,0.9166666666666666,0.9459459459459459,0.8205128205128205,0.9318181818181818,0.8695652173913043,1
郭lx,0.391304347826087,0.39285714285714285,0.2692307692307692,0.32142857142857145,0.5094339622641509,0.7297297297297297,0.52,0.625,0.782608695652174,0.6986301369863014,3
