participant,theta_s,phi_same_color,nll,aic,bic,cluster
0,0.3845807136969095,5.581899073556241,833.266270236369,1670.532540472738,1678.178632263704,2
031,0.8960248467035583,2.460710329079246,1042.8521939039535,2089.704387807907,2097.641802927878,1
24,0.6503778879204186,3.117626347284989,882.5539567509974,1769.1079135019947,1776.7181834398275,1
311,1.9625730640386272,-0.1828612683711745,664.7147517768313,1333.4295035536627,1340.984808200108,0
Aa,1.5154418277481196,1.1614879381472365,703.1480515878754,1410.2961031757509,1417.8264853813205,0
FLT,1.1890971343748105,-0.4559027791819228,971.2997529930948,1946.5995059861896,1954.4639963610855,0
Rex,1.268939067537778,0.6860437813352076,798.590457487563,1601.180914975126,1608.773030476657,0
Wangyudie,2.157491322386358,1.2747444194297972,660.8155180385091,1325.6310360770185,1333.271201937723,0
cmf,1.6695210830900684,0.9587466625447932,725.0253135819561,1454.0506271639122,1461.6059318103576,0
fzm,1.9422065594243425,-0.8671543640647579,669.9189129431331,1343.8378258862665,1351.3238322618852,0
lyc,1.5536733522036938,1.592072869809041,834.7177292943691,1673.435458588738,1681.1965245615395,0
qhw,0.961384265477274,2.604450590032964,866.4643739044509,1736.9287478089018,1744.5629701288285,1
yyq,1.0345313519461534,2.740146256201452,771.7205854371882,1547.4411708743764,1554.9652736399369,1
zhangcheng,0.3242362517882299,2.6235869556646763,1055.8271252513998,2115.6542505027996,2123.481256514076,1
杨田印盈,0.67711848488927,2.1442447383901135,921.2788677603054,1846.5577355206108,1854.185996584261,1
熊雯雯,0.4828459966257317,6.421005113349716,893.2259423758234,1790.4518847516467,1798.2296406683124,2
程子健,0.6159144539405235,3.9256679413109374,842.7974371633389,1689.594874326678,1697.1869898282089,1
赵雅菲,1.8108419256718613,0.6495300941940573,722.3816863921026,1448.763372784205,1456.444656098952,0
郭lx,0.6140437127588164,2.1833585499433403,1152.7061940680076,2309.412388136015,2317.4737586565375,1
