true_region_preserve,true_color_preserve,hat_region_preserve,hat_color_preserve,ll,nll,n_actions
0.0,0.0,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
0.0,0.25,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
0.0,0.5,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
0.0,1.0,1.0,1.0,-8.841014310483892,8.841014310483892,25
0.0,2.0,1.0,2.0,-49.736697963520676,49.736697963520676,80
0.5,0.0,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
0.5,0.25,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
0.5,0.5,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
0.5,1.0,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
0.5,2.0,2.0,2.0,-48.35040360240078,48.35040360240078,80
1.0,0.0,1.0,0.0,-7.4547199493640015,7.4547199493640015,25
1.0,0.25,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
1.0,0.5,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
1.0,1.0,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
1.0,2.0,2.0,2.0,-48.35040360240078,48.35040360240078,80
2.0,0.0,1.0,0.0,-7.4547199493640015,7.4547199493640015,25
2.0,0.25,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
2.0,0.5,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
2.0,1.0,1.0,0.25,-7.4547199493640015,7.4547199493640015,25
2.0,2.0,2.0,2.0,-48.35040360240078,48.35040360240078,80
