task_id,random_seed,true_pruning_thresh,true_gamma,true_lapse_rate,hat_pruning_thresh,hat_gamma,hat_lapse_rate,ll,nll,n_actions,converged
0,1,0.0,0.05,0.0,0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,True
1,2,0.0,0.05,0.0,0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,True
2,3,0.0,0.05,0.0,0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,True
3,1,0.0,0.05,0.1,0.0,0.2,0.1,-47.14052351328161,47.14052351328161,63,True
4,2,0.0,0.05,0.1,0.0,0.2,0.1,-44.89364902730158,44.89364902730158,62,True
5,3,0.0,0.05,0.1,0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,True
6,1,0.0,0.05,0.3,0.0,0.2,0.3,-63.388798707436415,63.388798707436415,67,True
7,2,0.0,0.05,0.3,0.0,0.2,0.3,-70.01297438203723,70.01297438203723,71,True
8,3,0.0,0.05,0.3,0.0,0.2,0.3,-113.18702711862448,113.18702711862448,88,True
9,1,0.0,0.1,0.0,0.0,0.1,0.0,-992.2668458039797,992.2668458039797,549,True
10,2,0.0,0.1,0.0,0.0,0.1,0.0,-992.2668458039797,992.2668458039797,549,True
11,3,0.0,0.1,0.0,0.0,0.1,0.0,-992.2668458039797,992.2668458039797,549,True
12,1,0.0,0.1,0.1,0.0,0.2,0.1,-126.04588061819861,126.04588061819861,105,True
13,2,0.0,0.1,0.1,0.0,0.2,0.1,-177.0910358333391,177.0910358333391,128,True
14,3,0.0,0.1,0.1,0.0,0.2,0.1,-430.09676979536295,430.09676979536295,226,True
15,1,0.0,0.1,0.3,0.0,0.2,0.3,-203.44566427572047,203.44566427572047,126,True
16,2,0.0,0.1,0.3,0.0,0.2,0.3,-1405.5637892564464,1405.5637892564464,613,True
17,3,0.0,0.1,0.3,0.0,0.2,0.1,-109.72519107053641,109.72519107053641,91,True
18,1,0.0,0.2,0.0,0.0,0.2,0.0,-1374.4322170492267,1374.4322170492267,548,True
19,2,0.0,0.2,0.0,0.0,0.2,0.0,-1374.4322170492267,1374.4322170492267,548,True
20,3,0.0,0.2,0.0,0.0,0.2,0.0,-1374.4322170492267,1374.4322170492267,548,True
21,1,0.0,0.2,0.1,0.0,0.2,0.1,-154.47767400185555,154.47767400185555,105,True
22,2,0.0,0.2,0.1,0.0,0.2,0.1,-782.9569414237668,782.9569414237668,368,True
23,3,0.0,0.2,0.1,0.0,0.2,0.1,-151.49846205170115,151.49846205170115,107,True
24,1,0.0,0.2,0.3,0.0,0.2,0.3,-205.1097153382238,205.1097153382238,129,True
25,2,0.0,0.2,0.3,0.0,0.2,0.3,-212.92517492393344,212.92517492393344,135,True
26,3,0.0,0.2,0.3,0.0,0.2,0.3,-114.09220501847814,114.09220501847814,89,True
27,1,0.5,0.05,0.0,0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,True
28,2,0.5,0.05,0.0,0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,True
29,3,0.5,0.05,0.0,0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,True
30,1,0.5,0.05,0.1,0.0,0.2,0.1,-47.14052351328161,47.14052351328161,63,True
31,2,0.5,0.05,0.1,0.0,0.2,0.1,-44.89364902730158,44.89364902730158,62,True
32,3,0.5,0.05,0.1,0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,True
33,1,0.5,0.05,0.3,0.0,0.2,0.3,-63.388798707436415,63.388798707436415,67,True
34,2,0.5,0.05,0.3,0.0,0.2,0.3,-70.01297438203723,70.01297438203723,71,True
35,3,0.5,0.05,0.3,0.0,0.2,0.3,-113.18702711862448,113.18702711862448,88,True
36,1,0.5,0.1,0.0,0.0,0.1,0.0,-992.2668458039797,992.2668458039797,549,True
37,2,0.5,0.1,0.0,0.0,0.1,0.0,-992.2668458039797,992.2668458039797,549,True
38,3,0.5,0.1,0.0,0.0,0.1,0.0,-992.2668458039797,992.2668458039797,549,True
39,1,0.5,0.1,0.1,0.0,0.2,0.1,-126.04588061819861,126.04588061819861,105,True
40,2,0.5,0.1,0.1,0.0,0.2,0.1,-177.0910358333391,177.0910358333391,128,True
41,3,0.5,0.1,0.1,0.0,0.2,0.1,-430.09676979536295,430.09676979536295,226,True
42,1,0.5,0.1,0.3,0.0,0.2,0.3,-203.44566427572047,203.44566427572047,126,True
43,2,0.5,0.1,0.3,0.0,0.2,0.3,-1405.5637892564464,1405.5637892564464,613,True
44,3,0.5,0.1,0.3,0.0,0.2,0.1,-109.72519107053641,109.72519107053641,91,True
45,1,0.5,0.2,0.0,0.0,0.2,0.0,-1374.4322170492267,1374.4322170492267,548,True
46,2,0.5,0.2,0.0,0.0,0.2,0.0,-1374.4322170492267,1374.4322170492267,548,True
47,3,0.5,0.2,0.0,0.0,0.2,0.0,-1374.4322170492267,1374.4322170492267,548,True
48,1,0.5,0.2,0.1,0.0,0.2,0.1,-154.47767400185555,154.47767400185555,105,True
