task_id,true_pruning_thresh,true_gamma,true_lapse_rate,random_seed
0,0.0,0.05,0.0,1
1,0.0,0.05,0.1,1
2,0.0,0.05,0.3,1
3,0.0,0.1,0.0,1
4,0.0,0.1,0.1,1
5,0.0,0.1,0.3,1
6,0.0,0.2,0.0,1
7,0.0,0.2,0.1,1
8,0.0,0.2,0.3,1
9,0.5,0.05,0.0,1
10,0.5,0.05,0.1,1
11,0.5,0.05,0.3,1
12,0.5,0.1,0.0,1
13,0.5,0.1,0.1,1
14,0.5,0.1,0.3,1
15,0.5,0.2,0.0,1
16,0.5,0.2,0.1,1
17,0.5,0.2,0.3,1
18,1.0,0.05,0.0,1
19,1.0,0.05,0.1,1
20,1.0,0.05,0.3,1
21,1.0,0.1,0.0,1
22,1.0,0.1,0.1,1
23,1.0,0.1,0.3,1
24,1.0,0.2,0.0,1
25,1.0,0.2,0.1,1
26,1.0,0.2,0.3,1
