task_id,random_seed,true_pruning_thresh,true_gamma,true_lapse_rate,true_region_preserve,true_color_preserve,hat_pruning_thresh,hat_gamma,hat_lapse_rate,hat_region_preserve,hat_color_preserve,ll,nll,n_actions,converged
0,1,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,-33.53657530597685,33.53657530597685,62,True
1,1,0.0,0.05,0.1,0.0,0.0,0.0,0.05,0.1,0.0,0.0,-36.503937824783314,36.503937824783314,61,True
2,1,0.0,0.05,0.3,0.0,0.0,0.0,0.05,0.3,0.0,0.0,-59.84694568846291,59.84694568846291,70,True
3,1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-2258.055974288992,2258.055974288992,1042,True
4,1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,-1408.9690241178919,1408.9690241178919,666,True
5,1,0.0,0.1,0.3,0.0,0.0,0.0,0.1,0.3,0.0,0.0,-200.37543679639768,200.37543679639768,131,True
6,1,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-2390.283278375987,2390.283278375987,1043,True
7,1,0.0,0.2,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.0,-1322.5221887154637,1322.5221887154637,599,True
8,1,0.0,0.2,0.3,0.0,0.0,0.0,0.2,0.3,0.0,0.0,-1251.6599858271857,1251.6599858271857,567,True
9,1,0.5,0.05,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,-37.13192870207996,37.13192870207996,62,True
10,1,0.5,0.05,0.1,0.0,0.0,0.5,0.05,0.0,0.0,0.0,-37.13192870207996,37.13192870207996,62,True
11,1,0.5,0.05,0.3,0.0,0.0,0.5,0.2,0.3,0.0,0.0,-73.20577447271323,73.20577447271323,71,True
12,1,0.5,0.1,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,-2257.845253257676,2257.845253257676,1043,True
13,1,0.5,0.1,0.1,0.0,0.0,0.5,0.2,0.1,0.0,0.0,-1476.7657089399156,1476.7657089399156,665,True
14,1,0.5,0.1,0.3,0.0,0.0,0.5,0.2,0.3,0.0,0.0,-1328.63820661029,1328.63820661029,622,True
15,1,0.5,0.2,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,-2665.231836708395,2665.231836708395,1043,True
16,1,0.5,0.2,0.1,0.0,0.0,0.5,0.2,0.1,0.0,0.0,-1338.1571031265232,1338.1571031265232,600,True
17,1,0.5,0.2,0.3,0.0,0.0,0.5,0.2,0.3,0.0,0.0,-1454.194972602119,1454.194972602119,639,True
18,1,1.0,0.05,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,-55.54179006159559,55.54179006159559,64,True
19,1,1.0,0.05,0.1,0.0,0.0,1.0,0.05,0.1,0.0,0.0,-68.9218119524066,68.9218119524066,65,True
20,1,1.0,0.05,0.3,0.0,0.0,1.0,0.05,0.3,0.0,0.0,-113.98225738181475,113.98225738181475,78,True
21,1,1.0,0.1,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,-996.9057828524385,996.9057828524385,549,True
22,1,1.0,0.1,0.1,0.0,0.0,1.0,0.1,0.1,0.0,0.0,-144.23497764013462,144.23497764013462,107,True
23,1,1.0,0.1,0.3,0.0,0.0,1.0,0.2,0.3,0.0,0.0,-1319.192188004126,1319.192188004126,560,True
24,1,1.0,0.2,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,-1228.2057422931578,1228.2057422931578,547,True
25,1,1.0,0.2,0.1,0.0,0.0,1.0,0.2,0.1,0.0,0.0,-352.3275153455383,352.3275153455383,193,True
26,1,1.0,0.2,0.3,0.0,0.0,1.0,0.2,0.3,0.0,0.0,-1294.5779542106404,1294.5779542106404,559,True
