task_id,random_seed,true_pruning_thresh,true_gamma,true_lapse_rate,true_region_preserve,true_color_preserve,hat_pruning_thresh,hat_gamma,hat_lapse_rate,hat_region_preserve,hat_color_preserve,ll,nll,n_actions,n_evaluations,nll_std,final_reevaluations,adaptive_round_repeats,converged,bads_message
0,1,0.5,0.1,0.0,0.0,0.0,0.5,0.1,0.0,0.75,0.75,-2281.564251368177,2281.564251368177,1043,43,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
1,1,0.5,0.1,0.0,0.0,0.25,0.5,0.1,0.0,0.24926376342773438,1.6548843383789062,-2184.0298294255927,2184.0298294255927,1043,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
2,1,0.5,0.1,0.0,0.0,0.5,0.5,0.1,0.0,0.24926376342773438,1.6548843383789062,-2184.0298294255927,2184.0298294255927,1043,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
3,1,0.5,0.1,0.0,0.0,1.0,0.5,0.1,0.0,0.1426239013671875,1.6831512451171875,-2182.9312171369247,2182.9312171369247,1043,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
4,1,0.5,0.1,0.0,0.0,2.0,0.5,0.1,0.0,-0.06544876098632812,1.9683952331542969,-1033.4159522886744,1033.4159522886744,1049,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
5,1,0.5,0.1,0.0,0.5,0.0,0.5,0.1,0.0,0.5483026504516602,1.5873832702636719,-967.9420813079812,967.9420813079812,550,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
6,1,0.5,0.1,0.0,0.5,0.25,0.5,0.1,0.0,0.5483026504516602,1.5873832702636719,-967.9420813079812,967.9420813079812,550,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
7,1,0.5,0.1,0.0,0.5,0.5,0.5,0.1,0.0,0.45703125,1.37255859375,-986.6803277494843,986.6803277494843,550,43,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
8,1,0.5,0.1,0.0,0.5,1.0,0.5,0.1,0.0,0.45703125,1.37255859375,-986.6803277494843,986.6803277494843,550,43,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
9,1,0.5,0.1,0.0,0.5,2.0,0.5,0.1,0.0,1.2144775390625,2.999755859375,-1596.658716053321,1596.658716053321,1542,61,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
10,1,0.5,0.1,0.0,1.0,0.0,0.5,0.1,0.0,2.1859474182128906,1.5827484130859375,-1033.0835655470164,1033.0835655470164,549,76,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
11,1,0.5,0.1,0.0,1.0,0.25,0.5,0.1,0.0,2.076904296875,1.686279296875,-1013.458911998738,1013.458911998738,549,40,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
12,1,0.5,0.1,0.0,1.0,0.5,0.5,0.1,0.0,2.076904296875,1.686279296875,-1013.458911998738,1013.458911998738,549,40,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
13,1,0.5,0.1,0.0,1.0,1.0,0.5,0.1,0.0,1.1216567158699036,1.5970472693443298,-962.238298833325,962.238298833325,549,80,1.2710574864626038e-13,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
14,1,0.5,0.1,0.0,1.0,2.0,0.5,0.1,0.0,1.14306640625,2.999755859375,-909.5082406672949,909.5082406672949,1048,47,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
15,1,0.5,0.1,0.0,2.0,0.0,0.5,0.1,0.0,2.7330322265625,1.60662841796875,-1033.0835655470164,1033.0835655470164,549,58,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
16,1,0.5,0.1,0.0,2.0,0.25,0.5,0.1,0.0,1.891815185546875,1.6058464050292969,-1013.0534468906296,1013.0534468906296,549,76,1.2710574864626038e-13,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
17,1,0.5,0.1,0.0,2.0,0.5,0.5,0.1,0.0,1.6893310546875,1.603271484375,-1013.0534468906296,1013.0534468906296,549,60,1.2710574864626038e-13,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
18,1,0.5,0.1,0.0,2.0,1.0,0.5,0.1,0.0,1.9485015869140625,1.6057701110839844,-1013.0534468906296,1013.0534468906296,549,76,1.2710574864626038e-13,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
19,1,0.5,0.1,0.0,2.0,2.0,0.5,0.1,0.0,2.352783203125,2.5029296875,-908.1864848273126,908.1864848273126,1049,51,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
