task_id,true_pruning_thresh,true_gamma,true_lapse_rate,true_region_preserve,true_color_preserve,random_seed
0,0.5,0.1,0.0,0.0,0.0,1
1,0.5,0.1,0.0,0.0,0.25,1
2,0.5,0.1,0.0,0.0,0.5,1
3,0.5,0.1,0.0,0.0,1.0,1
4,0.5,0.1,0.0,0.0,2.0,1
5,0.5,0.1,0.0,0.5,0.0,1
6,0.5,0.1,0.0,0.5,0.25,1
7,0.5,0.1,0.0,0.5,0.5,1
8,0.5,0.1,0.0,0.5,1.0,1
9,0.5,0.1,0.0,0.5,2.0,1
10,0.5,0.1,0.0,1.0,0.0,1
11,0.5,0.1,0.0,1.0,0.25,1
12,0.5,0.1,0.0,1.0,0.5,1
13,0.5,0.1,0.0,1.0,1.0,1
14,0.5,0.1,0.0,1.0,2.0,1
15,0.5,0.1,0.0,2.0,0.0,1
16,0.5,0.1,0.0,2.0,0.25,1
17,0.5,0.1,0.0,2.0,0.5,1
18,0.5,0.1,0.0,2.0,1.0,1
19,0.5,0.1,0.0,2.0,2.0,1
