task_id,random_seed,true_pruning_thresh,true_gamma,true_lapse_rate,true_region_preserve,true_color_preserve,hat_pruning_thresh,hat_gamma,hat_lapse_rate,hat_region_preserve,hat_color_preserve,ll,nll,n_actions,n_evaluations,nll_std,final_reevaluations,adaptive_round_repeats,converged,bads_message
0,1,0.0,0.05,0.0,0.0,0.0,0.11214895248413093,0.07448817253112792,0.05057437896728516,0.0,0.0,-30.061453323377123,30.061453323377123,62,67,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
1,1,0.0,0.05,0.1,0.0,0.0,0.07080621719360358,0.07344345569610596,0.10689308166503907,0.0,0.0,-33.577993140410186,33.577993140410186,61,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
2,1,0.0,0.05,0.3,0.0,0.0,0.059916245937347457,0.3990876662731171,0.49443989515304565,0.0,0.0,-66.00631069416005,66.00631069416005,70,62,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
3,1,0.0,0.1,0.0,0.0,0.0,2.9802322498717615e-08,0.09734028309583663,3.2782554726384916e-09,0.0,0.0,-2258.0559745636424,2258.0559745636424,1042,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
4,1,0.0,0.1,0.1,0.0,0.0,0.08704223632812513,0.09206100463867187,0.07251266479492188,0.0,0.0,-1408.7063263563286,1408.7063263563286,666,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
5,1,0.0,0.1,0.3,0.0,0.0,0.04553647339344036,0.12017651587724684,0.26860842704772947,0.0,0.0,-199.88768287094,199.88768287094,131,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
6,1,0.0,0.2,0.0,0.0,0.0,5.215406551073443e-09,0.17681003265082834,1.1175871061919196e-09,0.0,0.0,-2390.2832784327443,2390.2832784327443,1043,55,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
7,1,0.0,0.2,0.1,0.0,0.0,0.04886550903320319,0.2828829956054687,0.05881050109863281,0.0,0.0,-1319.1173174667074,1319.1173174667074,599,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
8,1,0.0,0.2,0.3,0.0,0.0,0.00208129584789285,0.12570205330848694,0.19047287240624428,0.0,0.0,-1249.514420151341,1249.514420151341,567,79,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
9,1,0.5,0.05,0.0,0.0,0.0,0.44137287139892584,0.07439224243164062,4.959106445490136e-07,0.0,0.0,-29.28297662031115,29.28297662031115,62,80,3.972054645195637e-15,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
10,1,0.5,0.05,0.1,0.0,0.0,0.6540110111236572,0.1776039171218872,0.1328957748413086,0.0,0.0,-39.7173571814323,39.7173571814323,62,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
11,1,0.5,0.05,0.3,0.0,0.0,0.6446372985839844,0.45060646057128906,0.34795204162597654,0.0,0.0,-68.50553597191188,68.50553597191188,71,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
12,1,0.5,0.1,0.0,0.0,0.0,0.5400939941406251,0.114930419921875,8.239746093763323e-06,0.0,0.0,-2260.995913202553,2260.995913202553,1043,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
13,1,0.5,0.1,0.1,0.0,0.0,0.5317352294921875,0.12345397949218749,0.014177246093750012,0.0,0.0,-1472.2058333259529,1472.2058333259529,665,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
14,1,0.5,0.1,0.3,0.0,0.0,0.6341300964355469,0.1773771095275879,0.3132076644897461,0.0,0.0,-1328.4194446267295,1328.4194446267295,622,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
15,1,0.5,0.2,0.0,0.0,0.0,0.5346138000488282,0.17258941650390625,1.6021728515835942e-06,0.0,0.0,-2665.2319870931274,2665.2319870931274,1043,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
16,1,0.5,0.2,0.1,0.0,0.0,0.5356964111328125,0.49999664306640623,0.09930633544921875,0.0,0.0,-1338.0318238994446,1338.0318238994446,600,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
17,1,0.5,0.2,0.3,0.0,0.0,0.5155065536499024,0.47809774398803706,0.3524561882019043,0.0,0.0,-1450.818092754594,1450.818092754594,639,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
18,1,1.0,0.05,0.0,0.0,0.0,1.13984375,0.4799951171875,0.177373046875,0.0,0.0,-69.26496850332158,69.26496850332158,64,70,0.0,5,{},True,Optimization terminated: change in the function value less than options['tol_fun'].
19,1,1.0,0.05,0.1,0.0,0.0,1.166878080368042,0.07104840755462646,0.08668167114257813,0.0,0.0,-66.20948494214349,66.20948494214349,65,80,0.0,5,{},True,Optimization terminated: reached maximum number of function evaluations options['max_fun_evals'].
