agent,participant,round,attempt_id,agent_step,attempt_recolor_step,state_before,region,old_color,new_color,source_step,is_final_attempt
human,5201314,3,1,0,1,0 3 0 3 1 2 3 1 2 0 3 1 3 1 3 2 0 1 1 1 0 2 0 2 3 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 3 1 2,13,1,2,24,False
human,5201314,3,1,1,2,0 3 0 3 1 2 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 0 2 3 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 3 1 2,42,3,0,25,False
human,5201314,3,1,2,3,0 3 0 3 1 2 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 0 2 3 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 0 1 2,11,1,0,26,False
human,5201314,3,2,3,1,0 3 0 3 1 2 3 1 2 0 3 1 3 1 3 2 0 1 1 1 0 2 0 2 3 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 1 3 1 2,13,1,0,28,False
human,5201314,5,1,4,1,3 1 2 2 0 3 3 1 0 0 1 2 2 1 0 3 0 0 3 0 0 1 1 3 2 2 3 1 1 1 0 0 3 0 0 1 1 2 2 0 1 2 2 0 1,36,1,0,56,False
human,5201314,5,1,5,2,3 1 2 2 0 3 3 1 0 0 1 2 2 1 0 3 0 0 3 0 0 1 1 3 2 2 3 1 1 1 0 0 3 0 0 1 0 2 2 0 1 2 2 0 1,34,0,3,57,False
human,5201314,5,1,6,3,3 1 2 2 0 3 3 1 0 0 1 2 2 1 0 3 0 0 3 0 0 1 1 3 2 2 3 1 1 1 0 0 3 0 3 1 0 2 2 0 1 2 2 0 1,23,3,0,58,False
human,5201314,5,1,7,4,3 1 2 2 0 3 3 1 0 0 1 2 2 1 0 3 0 0 3 0 0 1 1 0 2 2 3 1 1 1 0 0 3 0 3 1 0 2 2 0 1 2 2 0 1,6,3,2,59,False
human,5201314,5,1,8,5,3 1 2 2 0 3 2 1 0 0 1 2 2 1 0 3 0 0 3 0 0 1 1 0 2 2 3 1 1 1 0 0 3 0 3 1 0 2 2 0 1 2 2 0 1,8,0,2,60,False
human,5201314,5,1,9,6,3 1 2 2 0 3 2 1 2 0 1 2 2 1 0 3 0 0 3 0 0 1 1 0 2 2 3 1 1 1 0 0 3 0 3 1 0 2 2 0 1 2 2 0 1,6,2,3,61,False
human,5201314,8,1,10,1,2 1 3 3 3 3 2 0 3 3 0 2 3 1 0 1 1 0 3 3 0 0 2 3 3 2 1 0 3 2 2 0 3 0 0 1 1 1 2 1 2 0 0 1 3,33,0,2,97,False
human,5201314,8,2,11,1,2 1 3 3 3 3 2 0 3 3 0 2 3 1 0 1 1 0 3 3 0 0 2 3 3 2 1 0 3 2 2 0 3 0 0 1 1 1 2 1 2 0 0 1 3,32,3,2,99,False
human,5201314,10,1,12,1,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 0 0 0 1 2 0 2 0 1 1 1 0 0 1 2 3 3 1 0 2,43,0,3,115,False
human,5201314,10,1,13,2,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 0 0 0 1 2 0 2 0 1 1 1 0 0 1 2 3 3 1 3 2,14,0,1,116,False
human,5201314,10,2,14,1,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 0 0 0 1 2 0 2 0 1 1 1 0 0 1 2 3 3 1 0 2,43,0,3,118,False
human,5201314,10,2,15,2,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 0 0 0 1 2 0 2 0 1 1 1 0 0 1 2 3 3 1 3 2,39,2,0,119,False
human,5201314,10,2,16,3,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 0 0 0 1 2 0 2 0 1 1 1 0 0 1 0 3 3 1 3 2,32,0,2,120,False
human,5201314,10,2,17,4,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 0 0 0 1 2 0 2 2 1 1 1 0 0 1 0 3 3 1 3 2,20,2,1,121,False
human,5201314,10,2,18,5,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 1 2 2 1 0 0 0 0 1 2 0 2 2 1 1 1 0 0 1 0 3 3 1 3 2,10,1,3,122,False
